date,member01,member02,member03,member04,member05,member06,member07,member08,member09,member10,member11,member12,member13,member14,member15,member16,member17,member18,member19,member20,member21,member22,member23,member24,member25,member26,member27,member28,member29,member30,member31,member32,member33,member34,member35,member36,member37,member38,member39,member40,member41,member42,member43,member44,member45,member46,member47,member48,member49,member50,init_date,n_gridpoints
2026-09-22,15.9448,15.9367,15.9229,15.8991,15.93,15.9664,15.9548,15.9009,15.9539,15.8949,15.9236,15.9152,15.95,15.9622,15.8965,15.8843,15.9234,15.9014,15.9716,15.904,15.9145,15.9646,15.9324,15.9921,15.9169,15.9526,15.9279,15.9048,15.9386,15.9127,15.9575,15.8895,15.9096,15.9727,15.9017,15.9259,15.9356,15.8652,15.9394,15.9536,15.9277,15.923,15.9275,15.9623,15.9454,15.8874,15.918,15.9434,15.92,15.9539,2026-09-22,432
2026-09-23,15.8981,15.8394,15.8986,15.8548,15.8248,15.8509,15.8467,15.8866,15.8738,15.7819,15.8469,15.8548,15.8837,15.8651,15.8012,15.8127,15.8527,15.8193,15.9185,15.8044,15.8294,15.9216,15.8286,15.9012,15.8364,15.8883,15.8266,15.8224,15.8907,15.7922,15.8958,15.7658,15.8688,15.9097,15.8382,15.851,15.9176,15.7642,15.8555,15.9108,15.8782,15.8512,15.9181,15.895,15.8722,15.7798,15.8065,15.8395,15.8527,15.826,2026-09-22,432
2026-09-24,15.8732,15.7963,15.8945,15.7892,15.8008,15.7783,15.8377,15.84,15.8401,15.8079,15.8048,15.8161,15.8363,15.855,15.7944,15.7131,15.7932,15.7916,15.8277,15.7593,15.7744,15.9096,15.8228,15.887,15.7657,15.858,15.7934,15.7828,15.8473,15.7819,15.864,15.7574,15.7904,15.8189,15.8313,15.7957,15.8285,15.7327,15.8254,15.8579,15.8623,15.8058,15.853,15.8983,15.8339,15.7579,15.8471,15.8214,15.8234,15.8151,2026-09-22,432
2026-09-25,15.861,15.7819,15.869,15.7396,15.7854,15.7477,15.8674,15.8593,15.8347,15.727,15.8115,15.7928,15.8679,15.8781,15.7577,15.7338,15.804,15.7409,15.8071,15.7478,15.8015,15.8961,15.7957,15.877,15.7822,15.8245,15.777,15.8091,15.8599,15.7475,15.8627,15.8249,15.7611,15.8433,15.793,15.7752,15.8147,15.6894,15.8809,15.8554,15.8711,15.8197,15.8415,15.8411,15.7954,15.7706,15.8422,15.8278,15.8609,15.7935,2026-09-22,432
2026-09-26,15.8301,15.7611,15.9076,15.7448,15.7608,15.7934,15.8282,15.8915,15.7909,15.7433,15.8321,15.8094,15.9215,15.8692,15.8029,15.7327,15.8177,15.7442,15.7561,15.6899,15.8117,15.9051,15.7435,15.9211,15.8127,15.8299,15.7521,15.8202,15.8735,15.7947,15.8698,15.814,15.7322,15.7801,15.7623,15.7609,15.7702,15.669,15.8799,15.8597,15.7992,15.8215,15.87,15.9634,15.7949,15.7278,15.8449,15.8721,15.8425,15.7525,2026-09-22,432
2026-09-27,15.847,15.7684,15.8179,15.7005,15.7774,15.8033,15.7887,15.8015,15.6843,15.7379,15.801,15.6955,15.8861,15.85,15.6894,15.6843,15.7827,15.7348,15.7809,15.6302,15.7583,15.8508,15.7116,15.8125,15.7951,15.8153,15.6913,15.8062,15.8743,15.7575,15.858,15.7308,15.7048,15.7759,15.7517,15.6715,15.8008,15.6493,15.7846,15.8191,15.8078,15.8264,15.7844,15.8854,15.7829,15.7342,15.8594,15.7073,15.8273,15.7346,2026-09-22,432
2026-09-28,15.7684,15.7216,15.7948,15.706,15.6749,15.6813,15.7117,15.7499,15.6716,15.6395,15.7567,15.6787,15.8039,15.7576,15.657,15.5691,15.6145,15.7303,15.6498,15.6099,15.6719,15.8698,15.7034,15.6731,15.7433,15.7683,15.6608,15.7139,15.7397,15.7693,15.7917,15.6044,15.6907,15.7173,15.6805,15.6025,15.6579,15.5724,15.7375,15.7258,15.8272,15.6718,15.6474,15.7128,15.6555,15.6353,15.6948,15.6004,15.8255,15.7272,2026-09-22,432
2026-09-29,15.6594,15.6715,15.6381,15.6038,15.5757,15.5723,15.7786,15.6874,15.5877,15.5834,15.6891,15.59,15.7312,15.6489,15.5948,15.5386,15.533,15.6313,15.5904,15.4983,15.5687,15.7712,15.5591,15.6324,15.7615,15.6905,15.6176,15.5469,15.6595,15.7172,15.7109,15.507,15.6146,15.6112,15.6125,15.4343,15.5407,15.439,15.6613,15.5641,15.7233,15.5773,15.5642,15.5998,15.6298,15.57,15.5695,15.563,15.6901,15.6432,2026-09-22,432
2026-09-30,15.6128,15.6045,15.7022,15.5283,15.5913,15.6586,15.7551,15.5836,15.4888,15.5328,15.6462,15.6638,15.709,15.6055,15.6259,15.4093,15.6106,15.5662,15.5318,15.5416,15.4729,15.8118,15.6189,15.5643,15.7935,15.675,15.5495,15.5521,15.4991,15.7513,15.7025,15.5055,15.5208,15.5613,15.6531,15.3848,15.5504,15.5322,15.7111,15.5443,15.733,15.6459,15.5,15.6599,15.6377,15.5559,15.4408,15.3877,15.6641,15.6225,2026-09-22,432
2026-10-01,15.6228,15.5217,15.7097,15.5015,15.6676,15.5242,15.6798,15.4606,15.3972,15.5658,15.5466,15.7235,15.7588,15.6595,15.6182,15.426,15.5593,15.4144,15.5386,15.5595,15.4017,15.8026,15.5899,15.5092,15.6288,15.6252,15.4795,15.5593,15.4955,15.7313,15.6804,15.4276,15.5951,15.5489,15.6135,15.4145,15.5023,15.518,15.707,15.4132,15.7339,15.5418,15.4831,15.6171,15.5929,15.5995,15.4484,15.4469,15.688,15.575,2026-09-22,432
