date,t2m_mean,t2m_p5,t2m_p25,t2m_p50,t2m_p75,t2m_p95,init_date,n_members
2026-08-07,16.921447817406555,16.85173776987592,16.89137690600503,16.922218270869678,16.948429240408867,16.984536079178415,2026-08-07,50
2026-08-08,16.830293200867455,16.754888001478736,16.805337457070802,16.83302271110242,16.857650364208975,16.888471343877335,2026-08-07,50
2026-08-09,16.8494321605538,16.754365258586652,16.81354561761443,16.850671990807488,16.88491979143133,16.932549496086587,2026-08-07,50
2026-08-10,16.806841064443343,16.70587866568669,16.77480560094852,16.801485305377156,16.846195693124837,16.89919567149614,2026-08-07,50
2026-08-11,16.799515122811876,16.694033266690663,16.764259096543547,16.803046908120592,16.844707809186133,16.89284165786627,2026-08-07,50
2026-08-12,16.839781767733587,16.718524134050995,16.800973924496255,16.84536717315027,16.88612490416588,16.9511725493111,2026-08-07,50
2026-08-13,16.884359381228364,16.73539892567779,16.84804222207053,16.887666043531148,16.923444918384217,17.012499009162287,2026-08-07,50
2026-08-14,16.876105420325498,16.741564628948968,16.818880435288914,16.879420320413047,16.932322232414734,17.02704264289666,2026-08-07,50
2026-08-15,16.858346793040624,16.698274198391818,16.79240695809454,16.864085692991686,16.910083099020376,17.00702613396783,2026-08-07,50
2026-08-16,16.828862455227195,16.6343652537183,16.76705022531302,16.823122455347807,16.900756137823915,16.995844033489096,2026-08-07,50
2026-08-17,16.805556463738384,16.58776442354764,16.720645229044976,16.808337023159883,16.891489077240845,16.999007289560797,2026-08-07,50
2026-08-18,16.789531054050915,16.605059473681234,16.699637765631245,16.7936059611756,16.85794881956823,16.975277821918777,2026-08-07,50
2026-08-19,16.770542795357862,16.616055060185612,16.68756826343197,16.762388656636723,16.85444127777741,16.92702441401871,2026-08-07,50
2026-08-20,16.747936308417234,16.569585424846267,16.67467000976681,16.738479465183996,16.814842125157632,16.956170952579434,2026-08-07,50
2026-08-21,16.72017643037537,16.497677488816443,16.65127153139667,16.713693238084893,16.81378075711513,16.89920919256096,2026-08-07,50
2026-08-22,16.68947241767974,16.4690248376743,16.624104654474863,16.697419639329304,16.77532040562307,16.887039535780623,2026-08-07,50
2026-08-23,16.653524356736064,16.46678590781308,16.574789232945538,16.64024496943074,16.739531587435735,16.87044584223743,2026-08-07,50
2026-08-24,16.625357086115528,16.420246720732834,16.573995564770627,16.624467265567112,16.708522359253692,16.801254164155914,2026-08-07,50
2026-08-25,16.598191985566825,16.412498082302932,16.509936299667636,16.60849621561203,16.68438218768365,16.770307566122366,2026-08-07,50
2026-08-26,16.591531067937527,16.388069108650374,16.52380591114911,16.601588818824517,16.66780275572172,16.759609815284698,2026-08-07,50
2026-08-27,16.573498071805613,16.367400818066418,16.504769161520535,16.576685879020886,16.653645567849775,16.746224960645726,2026-08-07,50
2026-08-28,16.559734568501078,16.34161690884373,16.468175924596267,16.556600551357455,16.64541716670597,16.793580310973045,2026-08-07,50
2026-08-29,16.546938881103713,16.346027759888695,16.443401933423125,16.55104747683552,16.640891191953635,16.75293291316894,2026-08-07,50
2026-08-30,16.51776470301354,16.285960826999847,16.452677510635496,16.520256361619133,16.594637693446877,16.713795759752955,2026-08-07,50
2026-08-31,16.48866978027485,16.250654938044722,16.39930022358939,16.477882509100443,16.579867322971253,16.723243623092504,2026-08-07,50
2026-09-01,16.46115233159563,16.21850509591189,16.360501222988404,16.472878038754352,16.547216735891357,16.727997747640824,2026-08-07,50
2026-09-02,16.43371080966954,16.17551887549591,16.361691372962184,16.45208535118404,16.53335920967158,16.653592816344577,2026-08-07,50
2026-09-03,16.40971498531504,16.17162511845263,16.317461395940033,16.417712092639526,16.501294529133318,16.598117997268425,2026-08-07,50
2026-09-04,16.375824057197736,16.18007468687963,16.296490175079928,16.388389853492846,16.46010936505095,16.557312900482287,2026-08-07,50
2026-09-05,16.348010944419748,16.17205149971846,16.266074872864312,16.386057532266918,16.423928295427515,16.536813178964362,2026-08-07,50
2026-09-06,16.32865728428725,16.14349354468744,16.234299922354555,16.339735323404454,16.429233171271036,16.521652905026073,2026-08-07,50
2026-09-07,16.31227795635439,16.11029531993879,16.24636284973782,16.309377719153776,16.388494260192385,16.506682529508293,2026-08-07,50
2026-09-08,16.308000007296233,16.112509313760793,16.223932930341043,16.303175677003658,16.406762583611002,16.514668725518117,2026-08-07,50
2026-09-09,16.286003489301628,16.065915473383566,16.19968238698182,16.272598934755045,16.383700916812074,16.50733617491627,2026-08-07,50
2026-09-10,16.26652301199031,16.08145286835465,16.1539925162762,16.293517129227034,16.368305745428408,16.453881270665477,2026-08-07,50
2026-09-11,16.252019216887447,16.059176106039878,16.168264986520605,16.25663937730414,16.351982737014247,16.430159730419433,2026-08-07,50
2026-09-12,16.242765620188198,16.022814138315127,16.15059073195786,16.257230124454576,16.340090040886643,16.46212678170815,2026-08-07,50
2026-09-13,16.2231342814306,16.031900872142558,16.110927506288313,16.221586028829904,16.302128695185434,16.43449934791537,2026-08-07,50
2026-09-14,16.20966489234853,16.031359529557466,16.10400623132328,16.198203882105787,16.29218908572201,16.430457996891022,2026-08-07,50
2026-09-15,16.17703298274862,15.956277214865306,16.064549866835886,16.189767537308843,16.263491535222695,16.39277911826701,2026-08-07,50
2026-09-16,16.16032805901473,15.941343411478169,16.04495433546261,16.178950947276437,16.263925924811375,16.362876122517502,2026-08-07,50
2026-09-17,16.134016691268062,15.877369896815145,16.012045887633782,16.13370659323394,16.275013888252342,16.367981525950764,2026-08-07,50
2026-09-18,16.10082279445133,15.848514861342373,15.999627334748812,16.116483890286116,16.198002427424797,16.332404468847614,2026-08-07,50
2026-09-19,16.084264425972187,15.87795174558213,15.991184347037064,16.09645624626918,16.1822184298939,16.251746173600374,2026-08-07,50
2026-09-20,16.059309805325157,15.84264106187159,15.97372722694114,16.064824320210963,16.151655913621322,16.25643074052543,2026-08-07,50
