date,member01,member02,member03,member04,member05,member06,member07,member08,member09,member10,member11,member12,member13,member14,member15,member16,member17,member18,member19,member20,member21,member22,member23,member24,member25,member26,member27,member28,member29,member30,member31,member32,member33,member34,member35,member36,member37,member38,member39,member40,member41,member42,member43,member44,member45,member46,member47,member48,member49,member50,init_date,n_gridpoints
2026-08-27,16.5238,16.8099,16.7109,16.8158,16.7242,16.6677,16.6803,16.763,16.4122,16.7276,16.6923,16.6393,16.6313,16.8431,16.7388,16.7205,16.7872,16.9796,16.6288,16.9258,16.5472,16.6726,16.5806,16.6637,16.6687,16.6073,16.6013,16.7954,16.7324,16.7453,16.6841,16.6381,16.9859,16.6721,16.8375,16.5653,16.6071,16.8517,16.585,16.5616,16.7084,16.7803,16.7275,16.7239,16.7487,16.7202,16.5666,16.6576,16.5535,16.4734,2026-08-17,432
2026-08-28,16.4786,16.8936,16.6561,16.7727,16.6925,16.606,16.6256,16.7529,16.4094,16.6902,16.728,16.6448,16.6203,16.8014,16.6537,16.5732,16.7514,16.8143,16.5495,16.913,16.6109,16.6493,16.5878,16.6536,16.7375,16.6352,16.6274,16.7537,16.6365,16.6357,16.5554,16.4366,16.824,16.6487,16.8176,16.5181,16.5142,16.7567,16.5159,16.5538,16.6273,16.8417,16.653,16.597,16.714,16.6527,16.5866,16.7317,16.56,16.3956,2026-08-17,432
2026-08-29,16.5539,16.8557,16.7134,16.7616,16.6324,16.5751,16.6156,16.6867,16.3987,16.5667,16.6865,16.6525,16.5294,16.7318,16.606,16.6014,16.6812,16.7641,16.5462,16.9553,16.5496,16.6525,16.6351,16.554,16.7106,16.6136,16.6533,16.6829,16.6158,16.5411,16.5145,16.3957,16.6861,16.5505,16.7342,16.6018,16.5464,16.6987,16.4946,16.4969,16.5759,16.7381,16.6989,16.5779,16.7325,16.698,16.5385,16.8487,16.5068,16.3718,2026-08-17,432
2026-08-30,16.5299,16.6794,16.7742,16.8302,16.6451,16.5678,16.676,16.6132,16.3783,16.5925,16.5933,16.5812,16.5516,16.6681,16.5778,16.6117,16.6405,16.6613,16.5371,16.898,16.486,16.642,16.6644,16.4873,16.6859,16.6069,16.6295,16.6518,16.5675,16.4926,16.5611,16.3722,16.6083,16.6138,16.736,16.5871,16.5705,16.7106,16.4445,16.385,16.5457,16.705,16.7074,16.4748,16.6876,16.7042,16.5536,16.934,16.5022,16.4037,2026-08-17,432
2026-08-31,16.595,16.5844,16.7283,16.7762,16.6089,16.633,16.5528,16.654,16.3672,16.4942,16.568,16.4872,16.723,16.6052,16.5094,16.5528,16.5989,16.5765,16.5013,16.7802,16.4077,16.5552,16.5696,16.5017,16.6705,16.5767,16.6621,16.6805,16.451,16.4362,16.5066,16.3693,16.528,16.5781,16.7809,16.551,16.6653,16.6804,16.5289,16.2659,16.4411,16.6506,16.7072,16.4282,16.5751,16.6532,16.6284,16.849,16.4513,16.4796,2026-08-17,432
2026-09-01,16.5875,16.5388,16.702,16.7352,16.6575,16.6074,16.5061,16.5763,16.3512,16.346,16.4955,16.3528,16.7865,16.5217,16.3677,16.5065,16.4756,16.5383,16.4491,16.7503,16.3326,16.4904,16.4649,16.5471,16.6557,16.6039,16.6927,16.7015,16.3666,16.3114,16.5328,16.4391,16.4711,16.5964,16.7322,16.5457,16.7348,16.653,16.4751,16.2998,16.3675,16.6062,16.7073,16.394,16.5207,16.526,16.5032,16.7259,16.3966,16.4342,2026-08-17,432
2026-09-02,16.5493,16.5684,16.6672,16.7757,16.7118,16.5127,16.511,16.4959,16.3397,16.3546,16.3754,16.2245,16.6935,16.4702,16.2757,16.4561,16.4593,16.5327,16.3787,16.6344,16.3873,16.3843,16.5003,16.6092,16.6272,16.4612,16.7178,16.734,16.3437,16.2868,16.4204,16.4274,16.3573,16.6535,16.7173,16.5279,16.6712,16.5755,16.4853,16.2601,16.4658,16.5696,16.6753,16.2915,16.524,16.3863,16.4723,16.5945,16.3472,16.4085,2026-08-17,432
2026-09-03,16.5694,16.5676,16.5736,16.7418,16.754,16.5144,16.4532,16.4421,16.3565,16.3568,16.4423,16.1666,16.71,16.4079,16.2525,16.4504,16.3925,16.5237,16.2386,16.621,16.4132,16.2727,16.4872,16.5669,16.5915,16.4885,16.5816,16.7386,16.3701,16.2546,16.4168,16.3556,16.3406,16.4972,16.6339,16.4721,16.6193,16.4758,16.4964,16.1656,16.4745,16.493,16.5778,16.3289,16.5591,16.3325,16.4534,16.4954,16.3921,16.4242,2026-08-17,432
2026-09-04,16.439,16.5717,16.563,16.533,16.6521,16.4877,16.3308,16.4106,16.4233,16.4075,16.5347,16.2769,16.7035,16.47,16.1887,16.3652,16.4171,16.4335,16.2114,16.5406,16.3532,16.2309,16.4828,16.5648,16.5025,16.4754,16.5235,16.7298,16.3123,16.2262,16.4125,16.3112,16.1931,16.457,16.5303,16.3802,16.5156,16.3708,16.4659,16.1905,16.3518,16.4217,16.5337,16.2662,16.5327,16.2777,16.4412,16.4728,16.3589,16.4668,2026-08-17,432
2026-09-05,16.3606,16.4566,16.5152,16.3662,16.5019,16.5254,16.4187,16.4053,16.4159,16.3924,16.5426,16.3168,16.6379,16.4013,16.201,16.4231,16.3803,16.5159,16.2334,16.4821,16.2889,16.1906,16.5176,16.6007,16.4436,16.5438,16.4641,16.667,16.3306,16.2366,16.4273,16.3105,16.1875,16.3529,16.3789,16.3987,16.4484,16.2752,16.4094,16.1688,16.3134,16.4527,16.4962,16.2335,16.5339,16.2694,16.5723,16.4857,16.3173,16.3596,2026-08-17,432
