date,t2m_mean,t2m_p5,t2m_p25,t2m_p50,t2m_p75,t2m_p95,init_date,n_members
2026-08-06,16.852253046255417,16.77717573473908,16.80557072889087,16.84877731818705,16.892425856941323,16.921455925308635,2026-08-06,50
2026-08-07,16.89352139058272,16.81240755170012,16.849735709288396,16.887190421060822,16.934094333836846,16.98121851270255,2026-08-06,50
2026-08-08,16.82156285083429,16.7377912724646,16.77403781793014,16.80881334477597,16.868660372399322,16.925014943221317,2026-08-06,50
2026-08-09,16.845186406759122,16.75996070189349,16.807481313584045,16.83898271274656,16.88690152211989,16.941109645712668,2026-08-06,50
2026-08-10,16.825096151691245,16.713836926549515,16.77487201347506,16.82289928865336,16.880014581494343,16.934770524808823,2026-08-06,50
2026-08-11,16.81117294991697,16.690348980141984,16.74884335559667,16.806365177854595,16.871188429214154,16.94173952718001,2026-08-06,50
2026-08-12,16.787087839178643,16.663257144133773,16.732969677123762,16.78828834645685,16.84132647064206,16.90479274715622,2026-08-06,50
2026-08-13,16.802254634040054,16.652502800258834,16.732611557051552,16.802412341011152,16.85944326907135,16.966626545526506,2026-08-06,50
2026-08-14,16.79326188493058,16.659925300437767,16.726278435592,16.77377236040457,16.844804161683037,16.995071169429973,2026-08-06,50
2026-08-15,16.77882266322018,16.64996876120955,16.70561215665464,16.769705544653686,16.83700137838305,16.960692387335836,2026-08-06,50
2026-08-16,16.781170938565374,16.63580775634819,16.68320484820785,16.775288755542753,16.852462628059968,17.00780664278482,2026-08-06,50
2026-08-17,16.769231001978323,16.6034018395938,16.678933624493745,16.778185636667665,16.837535757980874,16.977854809383395,2026-08-06,50
2026-08-18,16.76037386343883,16.587236792358887,16.688137344768105,16.73401485275764,16.856558728829405,16.970463821240937,2026-08-06,50
2026-08-19,16.74851404230031,16.573973444423938,16.664944016534267,16.738503005489648,16.81712109891442,16.959673322078032,2026-08-06,50
2026-08-20,16.714000216928447,16.559097222215915,16.62564661640124,16.70881513731296,16.800285330259026,16.907105506970126,2026-08-06,50
2026-08-21,16.67881581883647,16.537189035423847,16.597231157879467,16.683657896073036,16.743930031348032,16.846818729956826,2026-08-06,50
2026-08-22,16.65957634311513,16.453813978429746,16.586128618098773,16.63980617037474,16.743942166986166,16.888588915435196,2026-08-06,50
2026-08-23,16.64498674087008,16.414418823734124,16.605411659523234,16.65377426084506,16.70186184762634,16.863358018186034,2026-08-06,50
2026-08-24,16.614153507384973,16.37440367890724,16.562877332846817,16.629381839131547,16.67534324002639,16.809936438589705,2026-08-06,50
