date,nino34,tropics,nino12,nino3,nino4
1981-11-27,26.3589,26.8496,21.6743,24.5657,28.4622
1981-11-28,26.4193,26.8417,21.7887,24.68,28.4454
1981-11-29,26.4227,26.8399,21.9062,24.6959,28.4405
1981-11-30,26.4563,26.8644,21.9263,24.8076,28.5618
1981-12-01,26.5272,26.9106,21.9165,25.0847,28.6934
1981-12-02,26.5208,26.9404,21.9412,25.0796,28.7149
1981-12-03,26.5165,26.9202,22.0034,24.985,28.5994
1981-12-04,26.519,26.8968,22.0483,24.9332,28.592
1981-12-05,26.3367,26.8756,22.431,24.8363,28.391
1981-12-06,26.2344,26.8583,22.4736,24.5823,28.375
1981-12-07,26.1712,26.8229,22.4164,24.5348,28.2458
1981-12-08,26.129,26.811,22.4282,24.6014,28.1605
1981-12-09,26.2667,26.8149,22.5699,24.6502,28.2492
1981-12-10,26.2879,26.8181,22.682,24.6877,28.2292
1981-12-11,26.1569,26.8034,22.656,24.6851,27.9762
1981-12-12,26.0871,26.7971,22.6262,24.6737,27.8514
1981-12-13,25.9545,26.8114,22.6676,24.645,27.7865
1981-12-14,25.8389,26.8086,22.7117,24.5929,27.7625
1981-12-15,25.8243,26.8125,22.8244,24.551,27.7934
1981-12-16,25.7762,26.8248,22.8923,24.5505,27.8097
1981-12-17,25.6221,26.8265,22.7674,24.6199,27.6671
1981-12-18,25.4993,26.812,22.8822,24.6817,27.5036
1981-12-19,25.6136,26.8383,23.031,24.8239,27.5218
1981-12-20,25.7392,26.853,23.1469,24.9888,27.704
1981-12-21,25.8929,26.8626,23.215,25.1085,28.0171
1981-12-22,26.257,26.8835,23.2437,25.2677,28.465
1981-12-23,26.4688,26.9043,23.1689,25.3729,28.6415
1981-12-24,26.5411,26.9158,23.2401,25.4802,28.6074
1981-12-25,26.4952,26.8989,23.3082,25.3786,28.4553
1981-12-26,26.4384,26.89,23.3123,25.2996,28.3118
1981-12-27,26.4021,26.9019,23.3731,25.3166,28.2106
1981-12-28,26.4054,26.912,23.3938,25.3612,28.1171
1981-12-29,26.3001,26.91,23.4398,25.3429,28.0469
1981-12-30,26.3224,26.9228,23.7948,25.3977,28.1484
1981-12-31,26.4948,26.9395,23.6427,25.5741,28.2148
1982-01-01,26.6229,26.9613,23.3235,25.6836,28.2839
1982-01-02,26.8166,26.9562,23.093,25.7864,28.3123
1982-01-03,26.8919,26.9397,23.1935,25.7823,28.293
1982-01-04,26.8167,26.9419,23.464,25.7034,28.2386
1982-01-05,26.6763,26.9356,24.2544,25.653,28.1936
1982-01-06,26.5743,26.9257,24.5652,25.6816,28.147
1982-01-07,26.5284,26.9016,24.585,25.6954,28.0511
1982-01-08,26.4654,26.9117,24.4684,25.7253,27.8533
1982-01-09,26.3126,26.8964,24.3947,25.7055,27.6044
1982-01-10,26.3672,26.8885,24.2561,25.7019,27.5795
1982-01-11,26.4316,26.8949,24.1331,25.6827,27.7506
1982-01-12,26.3488,26.8863,23.9353,25.6016,27.8056
1982-01-13,26.3802,26.8612,23.988,25.6251,27.6815
1982-01-14,26.3377,26.8495,24.1994,25.6586,27.6834
1982-01-15,26.247,26.8499,24.3605,25.7013,27.6533
1982-01-16,26.2674,26.8451,24.4721,25.7009,27.8477
1982-01-17,26.3651,26.8445,24.2633,25.6577,28.0727
1982-01-18,26.4066,26.8464,23.9686,25.6426,28.1418
1982-01-19,26.5655,26.8293,23.8098,25.5771,28.112
1982-01-20,26.6277,26.8358,23.791,25.5475,28.0939
1982-01-21,26.6892,26.8384,23.8586,25.5409,28.2298
1982-01-22,26.7332,26.8384,23.7749,25.5552,28.3749
1982-01-23,26.8582,26.8547,24.0159,25.6809,28.2663
1982-01-24,26.8964,26.8664,24.4467,25.8367,28.1567
1982-01-25,26.7775,26.8648,24.7327,25.9517,28.1454
1982-01-26,26.7479,26.8751,24.9403,26.0756,28.1358
1982-01-27,26.7411,26.8853,25.3155,26.1212,28.1414
1982-01-28,26.748,26.8752,25.2825,26.1162,28.0847
1982-01-29,26.6717,26.8608,25.0105,26.0257,27.9529
1982-01-30,26.6314,26.8455,24.8423,25.9304,27.8285
1982-01-31,26.6212,26.8452,24.8848,25.8855,27.7506
1982-02-01,26.63,26.8835,25.2451,25.9912,27.7514
1982-02-02,26.5797,26.9262,25.4717,26.0553,27.7234
1982-02-03,26.5901,26.9427,25.4404,26.1278,27.7223
1982-02-04,26.5629,26.9522,25.3537,26.1188,27.7839
1982-02-05,26.5428,26.9516,25.3626,26.1396,27.8215
1982-02-06,26.4526,26.976,25.3992,26.1413,27.8114
1982-02-07,26.438,26.9902,25.4441,26.0717,27.9967
1982-02-08,26.4203,26.9844,25.1401,26.0452,27.997
1982-02-09,26.468,26.9914,25.1725,26.1433,28.0058
1982-02-10,26.4074,26.998,25.4298,26.1156,28.0021
1982-02-11,26.3151,26.9945,25.3456,26.0764,27.9902
1982-02-12,26.2267,26.9784,25.4108,26.0562,27.9109
1982-02-13,26.0928,26.9602,25.441,26.1232,27.7297
1982-02-14,26.0404,26.9488,25.3378,26.1436,27.6174
1982-02-15,26.3014,26.947,25.4404,26.1853,27.8348
1982-02-16,26.3962,26.9722,25.3406,26.1422,27.8514
1982-02-17,26.483,27.0198,25.3923,26.1349,27.8664
1982-02-18,26.6105,27.0644,25.2086,26.2758,27.9759
1982-02-19,26.6196,27.1147,25.2058,26.4046,28.0359
1982-02-20,26.5633,27.1386,25.3234,26.3392,28.1428
1982-02-21,26.5393,27.1385,25.3293,26.2936,28.2665
1982-02-22,26.5331,27.1146,25.2465,26.2744,28.2975
1982-02-23,26.5769,27.0971,25.2412,26.217,28.3089
1982-02-24,26.5448,27.0718,25.2024,26.1919,28.2824
1982-02-25,26.4949,27.0753,25.3174,26.2443,28.2515
1982-02-26,26.5704,27.0825,25.3101,26.3537,28.1843
1982-02-27,26.5916,27.065,25.2807,26.3854,28.1459
1982-02-28,26.5656,27.0748,25.4979,26.3635,28.0135
1982-03-01,26.5281,27.1182,25.7642,26.3988,27.9981
1982-03-02,26.4912,27.1479,25.732,26.4346,27.978
1982-03-03,26.7978,27.1935,25.3869,26.6823,28.0494
1982-03-04,27.0391,27.2136,24.9917,26.8183,28.2048
1982-03-05,27.0772,27.2049,25.0142,26.8671,28.2423
1982-03-06,26.9747,27.1932,25.1712,26.9308,28.1241
1982-03-07,26.7479,27.2191,25.5375,26.7718,28.063
1982-03-08,26.6947,27.2194,25.5164,26.539,28.1277
1982-03-09,26.708,27.1921,25.2203,26.4218,28.1571
1982-03-10,26.7071,27.183,24.8014,26.4956,28.1594
1982-03-11,26.6731,27.2062,24.9032,26.5313,28.098
1982-03-12,26.7282,27.2165,25.0015,26.4979,28.0733
1982-03-13,26.8225,27.2018,24.9709,26.4579,28.0557
1982-03-14,26.8501,27.23,25.0511,26.5012,28.0194
1982-03-15,26.9051,27.2541,25.2439,26.6215,28.0142
1982-03-16,26.9165,27.2646,25.4277,26.8097,27.9268
1982-03-17,26.9996,27.2798,25.3455,26.9917,27.9829
1982-03-18,27.0793,27.298,25.306,26.9981,28.1522
1982-03-19,27.1589,27.3177,25.2729,26.9514,28.193
1982-03-20,27.3193,27.3413,25.2303,27.0158,28.1761
1982-03-21,27.4279,27.3451,25.0401,27.0911,28.2706
1982-03-22,27.4669,27.3676,24.8795,27.0836,28.4609
1982-03-23,27.4798,27.4026,24.9461,27.0464,28.4815
1982-03-24,27.5281,27.4234,25.2592,27.0595,28.4386
1982-03-25,27.5776,27.4578,25.3359,27.1954,28.4273
1982-03-26,27.5366,27.4592,25.1905,27.2228,28.4316
1982-03-27,27.4459,27.4375,25.0441,27.1682,28.4587
1982-03-28,27.3154,27.4459,24.8487,27.1092,28.4164
1982-03-29,27.1596,27.4242,24.8465,27.0757,28.2867
1982-03-30,27.0413,27.422,24.7487,27.0395,28.226
1982-03-31,27.0886,27.4588,24.6419,27.101,28.2566
1982-04-01,27.3149,27.5531,24.4987,27.3053,28.3467
1982-04-02,27.4481,27.6019,24.327,27.3922,28.48
1982-04-03,27.4654,27.6111,24.4024,27.4452,28.4594
1982-04-04,27.456,27.5836,24.5535,27.3426,28.4692
1982-04-05,27.5126,27.5595,24.744,27.3296,28.5374
1982-04-06,27.7637,27.5393,24.7784,27.4884,28.6774
1982-04-07,27.9354,27.5775,24.8078,27.6455,28.6402
1982-04-08,27.9453,27.6166,24.8588,27.6232,28.5897
1982-04-09,27.9832,27.6698,24.9057,27.731,28.6257
1982-04-10,27.9125,27.671,24.9821,27.6781,28.5337
1982-04-11,27.7261,27.6495,24.903,27.5154,28.4473
1982-04-12,27.5561,27.6117,24.8311,27.3713,28.4029
1982-04-13,27.4978,27.6088,24.6602,27.2806,28.4104
1982-04-14,27.559,27.5719,24.4509,27.2679,28.43
1982-04-15,27.654,27.5648,24.2138,27.37,28.4049
1982-04-16,27.7392,27.5521,24.038,27.3719,28.5513
1982-04-17,27.7826,27.5501,24.2586,27.3419,28.5986
1982-04-18,27.799,27.5735,24.4333,27.3361,28.6551
1982-04-19,27.9254,27.6099,24.5242,27.3975,28.7826
1982-04-20,27.9788,27.629,24.4647,27.4615,28.7789
1982-04-21,27.9839,27.6767,24.3605,27.5272,28.7217
1982-04-22,28.0037,27.7294,24.3254,27.5274,28.7871
1982-04-23,28.0293,27.7143,24.2553,27.4739,28.8899
1982-04-24,28.1425,27.6762,24.0923,27.4312,28.9647
1982-04-25,28.2572,27.6317,24.0415,27.3099,29.0879
1982-04-26,28.2265,27.6099,24.3386,27.3455,29.0417
1982-04-27,27.9897,27.5652,24.5065,27.3888,28.8089
1982-04-28,27.7793,27.546,24.3689,27.3311,28.7325
1982-04-29,27.7582,27.5827,24.26,27.379,28.6603
1982-04-30,27.8618,27.6369,24.2321,27.504,28.6264
1982-05-01,27.8837,27.7044,24.4534,27.529,28.7338
1982-05-02,27.8678,27.7116,24.5464,27.496,28.8239
1982-05-03,27.8879,27.7134,24.5013,27.4232,28.9286
1982-05-04,27.9494,27.7268,24.3966,27.3236,29.2206
1982-05-05,28.054,27.721,24.2676,27.4171,29.259
1982-05-06,28.2216,27.698,24.1193,27.5684,29.1993
1982-05-07,28.3244,27.6575,23.9687,27.6344,29.1372
1982-05-08,28.2648,27.6312,24.0842,27.6137,29.1421
1982-05-09,28.131,27.6406,24.1672,27.5554,29.1778
1982-05-10,27.9718,27.6124,24.0899,27.4743,29.0979
1982-05-11,27.8028,27.5853,23.9667,27.2605,28.9353
1982-05-12,27.7834,27.5743,23.883,27.1974,28.8572
1982-05-13,27.8523,27.6044,23.9324,27.3725,28.9837
1982-05-14,28.0213,27.6278,23.9836,27.5461,28.9801
1982-05-15,28.2197,27.6382,23.9106,27.6349,29.1172
1982-05-16,28.4122,27.645,23.7572,27.6694,29.3776
1982-05-17,28.5983,27.6267,23.6832,27.7595,29.4952
1982-05-18,28.6469,27.5791,23.7099,27.7933,29.4065
1982-05-19,28.5952,27.555,23.8187,27.8684,29.3173
1982-05-20,28.5969,27.5405,23.9341,27.8695,29.3131
1982-05-21,28.6344,27.5054,23.9522,27.8154,29.356
1982-05-22,28.7249,27.4933,23.8953,27.7872,29.4213
1982-05-23,28.8261,27.5137,23.7537,27.7627,29.5123
1982-05-24,28.7298,27.5275,23.6294,27.7023,29.4588
1982-05-25,28.5654,27.5065,23.6432,27.6588,29.3697
1982-05-26,28.525,27.4803,23.6871,27.6478,29.2935
1982-05-27,28.4939,27.4459,23.7607,27.6374,29.1927
1982-05-28,28.4709,27.4355,23.7635,27.623,29.1642
1982-05-29,28.4449,27.4334,23.6936,27.5903,29.1518
1982-05-30,28.424,27.4238,23.6516,27.5445,29.1434
1982-05-31,28.4104,27.4164,23.6474,27.5015,29.1416
1982-06-01,28.4936,27.3978,23.4963,27.5434,29.2448
1982-06-02,28.609,27.3857,23.5589,27.531,29.3181
1982-06-03,28.7605,27.3522,23.4188,27.5312,29.4288
1982-06-04,28.7382,27.3236,23.0985,27.4176,29.5132
1982-06-05,28.6032,27.3283,23.1906,27.3867,29.5907
1982-06-06,28.5495,27.3189,23.2276,27.3408,29.694
1982-06-07,28.5358,27.2861,23.1971,27.2936,29.6865
1982-06-08,28.4074,27.2572,23.146,27.1718,29.5733
1982-06-09,28.2219,27.2477,23.0176,27.1271,29.4336
1982-06-10,28.1322,27.2256,22.9767,27.1875,29.3859
1982-06-11,28.2115,27.2234,23.1137,27.3062,29.3849
1982-06-12,28.2565,27.2186,23.154,27.3077,29.43
1982-06-13,28.2915,27.1935,23.1186,27.2169,29.5016
1982-06-14,28.3112,27.1553,23.127,27.1387,29.458
1982-06-15,28.1507,27.1034,23.1213,27.0536,29.3969
1982-06-16,27.9897,27.0427,23.1688,26.8963,29.3824
1982-06-17,27.9359,27.0062,23.1226,26.8266,29.5203
1982-06-18,27.9129,26.9812,22.819,26.8129,29.4254
1982-06-19,27.8961,26.984,22.684,26.7963,29.3547
1982-06-20,28.0908,26.9868,22.7106,26.8588,29.322
1982-06-21,28.3677,26.9915,22.4998,26.8721,29.5311
1982-06-22,28.3767,26.984,22.3861,26.8218,29.5638
1982-06-23,28.2993,26.9564,22.3965,26.822,29.4724
1982-06-24,28.2583,26.9456,22.3634,26.8004,29.4564
1982-06-25,28.3063,26.9322,22.3049,26.8309,29.4252
1982-06-26,28.2191,26.8944,22.2245,26.7642,29.3091
1982-06-27,28.2163,26.8576,22.0883,26.6306,29.3472
1982-06-28,28.1806,26.8178,22.17,26.3081,29.6209
1982-06-29,28.2265,26.7807,22.3701,26.2466,29.7441
1982-06-30,28.2405,26.7641,22.4242,26.1775,29.7919
1982-07-01,28.2159,26.7589,22.4827,26.0757,29.7822
1982-07-02,28.0828,26.736,22.4709,25.9524,29.7389
1982-07-03,27.7543,26.6908,22.6126,25.7824,29.5621
1982-07-04,27.411,26.6587,22.8633,25.7895,29.3216
1982-07-05,27.2329,26.6329,22.9642,25.8791,29.1775
1982-07-06,27.2866,26.6175,23.0318,25.9708,29.063
1982-07-07,27.368,26.6185,23.0299,26.0065,28.9708
1982-07-08,27.2852,26.6087,23.0389,25.8416,28.8453
1982-07-09,27.2234,26.5751,22.8752,25.7854,28.7724
1982-07-10,27.274,26.5679,22.7448,25.8037,28.7476
1982-07-11,27.2529,26.5723,22.6336,25.8493,28.6913
1982-07-12,27.2113,26.5627,22.5872,25.8249,28.6712
1982-07-13,27.2022,26.5386,22.545,25.8649,28.6034
1982-07-14,27.1459,26.5111,22.3302,25.9641,28.4877
1982-07-15,27.3097,26.5073,21.9399,26.1873,28.4837
1982-07-16,27.5,26.4727,21.7813,26.3134,28.415
1982-07-17,27.5581,26.4046,21.5148,26.3714,28.358
1982-07-18,27.5477,26.3908,21.452,26.3322,28.3691
1982-07-19,27.5294,26.3893,21.4849,26.2815,28.4512
1982-07-20,27.6044,26.4015,21.5629,26.2526,28.3948
1982-07-21,27.8261,26.4228,21.4929,26.2944,28.4864
1982-07-22,27.9094,26.424,21.408,26.2107,28.5817
1982-07-23,27.9122,26.4363,21.4464,26.1638,28.6209
1982-07-24,27.8156,26.4212,21.4756,26.0398,28.5798
1982-07-25,27.7163,26.4089,21.4947,25.9275,28.6263
1982-07-26,27.6183,26.3982,21.5089,25.9553,28.5842
1982-07-27,27.5113,26.3733,21.55,25.8816,28.6151
1982-07-28,27.3644,26.3421,21.5762,25.7564,28.6382
1982-07-29,27.2687,26.3107,21.5364,25.6627,28.6381
1982-07-30,27.208,26.275,21.4327,25.5358,28.6851
1982-07-31,27.2063,26.2472,21.4819,25.5267,28.6674
1982-08-01,27.348,26.2379,21.6628,25.5512,28.5752
1982-08-02,27.5894,26.2358,21.9404,25.753,28.5452
1982-08-03,27.7563,26.2612,21.8568,25.9694,28.5623
