# ERA5 1991-2020 day-of-year global-mean climatology on the EC46 fetcher's coarse grid (10x15 deg, cos-lat weights), Open-Meteo archive API; 4-harmonic smoothed.
day_of_year,clim_C
1,12.2719
2,12.2657
3,12.2602
4,12.2551
5,12.2506
6,12.2467
7,12.2432
8,12.2404
9,12.238
10,12.2363
11,12.235
12,12.2343
13,12.2341
14,12.2345
15,12.2353
16,12.2368
17,12.2387
18,12.2412
19,12.2442
20,12.2478
21,12.2518
22,12.2564
23,12.2616
24,12.2672
25,12.2734
26,12.2801
27,12.2873
28,12.295
29,12.3033
30,12.312
31,12.3213
32,12.3311
33,12.3414
34,12.3522
35,12.3635
36,12.3753
37,12.3875
38,12.4003
39,12.4136
40,12.4274
41,12.4416
42,12.4564
43,12.4716
44,12.4873
45,12.5034
46,12.52
47,12.5371
48,12.5546
49,12.5726
50,12.591
51,12.6098
52,12.6291
53,12.6488
54,12.669
55,12.6895
56,12.7105
57,12.7318
58,12.7536
59,12.7757
60,12.7983
61,12.8211
62,12.8444
63,12.868
64,12.892
65,12.9163
66,12.941
67,12.966
68,12.9913
69,13.0169
70,13.0429
71,13.0691
72,13.0956
73,13.1224
74,13.1495
75,13.1768
76,13.2044
77,13.2322
78,13.2603
79,13.2886
80,13.3171
81,13.3458
82,13.3748
83,13.4039
84,13.4332
85,13.4627
86,13.4924
87,13.5222
88,13.5522
89,13.5823
90,13.6126
91,13.643
92,13.6735
93,13.7041
94,13.7348
95,13.7657
96,13.7966
97,13.8275
98,13.8586
99,13.8897
100,13.9208
101,13.9521
102,13.9833
103,14.0146
104,14.0458
105,14.0772
106,14.1085
107,14.1398
108,14.1711
109,14.2023
110,14.2336
111,14.2648
112,14.2959
113,14.3271
114,14.3581
115,14.3891
116,14.42
117,14.4509
118,14.4816
119,14.5123
120,14.5428
121,14.5732
122,14.6036
123,14.6337
124,14.6638
125,14.6937
126,14.7235
127,14.7531
128,14.7825
129,14.8117
130,14.8408
131,14.8697
132,14.8984
133,14.9269
134,14.9551
135,14.9832
136,15.011
137,15.0386
138,15.0659
139,15.093
140,15.1199
141,15.1465
142,15.1728
143,15.1988
144,15.2245
145,15.2499
146,15.2751
147,15.2999
148,15.3244
149,15.3486
150,15.3725
151,15.396
152,15.4192
153,15.4421
154,15.4646
155,15.4867
156,15.5085
157,15.5299
158,15.5509
159,15.5715
160,15.5918
161,15.6117
162,15.6311
163,15.6502
164,15.6688
165,15.6871
166,15.7049
167,15.7223
168,15.7393
169,15.7558
170,15.772
171,15.7877
172,15.8029
173,15.8177
174,15.8321
175,15.846
176,15.8595
177,15.8725
178,15.8851
179,15.8972
180,15.9088
181,15.92
182,15.9308
183,15.941
184,15.9508
185,15.9602
186,15.969
187,15.9774
188,15.9854
189,15.9928
190,15.9998
191,16.0063
192,16.0124
193,16.0179
194,16.023
195,16.0277
196,16.0318
197,16.0355
198,16.0386
199,16.0413
200,16.0436
201,16.0453
202,16.0466
203,16.0474
204,16.0477
205,16.0475
206,16.0468
207,16.0456
208,16.044
209,16.0419
210,16.0392
211,16.0361
212,16.0325
213,16.0284
214,16.0238
215,16.0187
216,16.0131
217,16.007
218,16.0004
219,15.9933
220,15.9857
221,15.9776
222,15.969
223,15.9599
224,15.9502
225,15.9401
226,15.9294
227,15.9182
228,15.9065
229,15.8943
230,15.8815
231,15.8682
232,15.8544
233,15.8401
234,15.8252
235,15.8098
236,15.7938
237,15.7774
238,15.7604
239,15.7428
240,15.7247
241,15.7061
242,15.687
243,15.6673
244,15.6471
245,15.6264
246,15.6051
247,15.5833
248,15.5609
249,15.5381
250,15.5147
251,15.4908
252,15.4663
253,15.4414
254,15.416
255,15.39
256,15.3636
257,15.3366
258,15.3092
259,15.2813
260,15.2529
261,15.2241
262,15.1947
263,15.165
264,15.1348
265,15.1042
266,15.0731
267,15.0416
268,15.0098
269,14.9775
270,14.9449
271,14.9119
272,14.8785
273,14.8448
274,14.8108
275,14.7765
276,14.7419
277,14.7069
278,14.6717
279,14.6363
280,14.6006
281,14.5647
282,14.5286
283,14.4923
284,14.4558
285,14.4192
286,14.3824
287,14.3456
288,14.3086
289,14.2715
290,14.2343
291,14.1971
292,14.1599
293,14.1227
294,14.0854
295,14.0482
296,14.011
297,13.9739
298,13.9368
299,13.8999
300,13.863
301,13.8263
302,13.7897
303,13.7533
304,13.7171
305,13.681
306,13.6452
307,13.6096
308,13.5742
309,13.5391
310,13.5043
311,13.4697
312,13.4355
313,13.4016
314,13.368
315,13.3348
316,13.3019
317,13.2694
318,13.2372
319,13.2055
320,13.1742
321,13.1432
322,13.1127
323,13.0827
324,13.0531
325,13.0239
326,12.9952
327,12.967
328,12.9392
329,12.912
330,12.8852
331,12.8589
332,12.8331
333,12.8079
334,12.7831
335,12.7589
336,12.7352
337,12.7121
338,12.6894
339,12.6673
340,12.6458
341,12.6247
342,12.6043
343,12.5843
344,12.5649
345,12.5461
346,12.5278
347,12.5101
348,12.4929
349,12.4763
350,12.4602
351,12.4447
352,12.4298
353,12.4154
354,12.4015
355,12.3882
356,12.3755
357,12.3633
358,12.3517
359,12.3406
360,12.3301
361,12.3201
362,12.3107
363,12.3019
364,12.2935
365,12.2858
366,12.2785
