doy,nino34_clim,tropics_clim
1,26.458683013916016,27.042124303181968
2,26.374489720662435,27.027659606933593
3,26.437606048583984,27.03881696065267
4,26.386145146687827,27.029520161946614
5,26.437255096435546,27.0360969543457
6,26.378663762410483,27.02366574605306
7,26.466514333089194,27.0440975189209
8,26.39312807718913,27.03083241780599
9,26.454740397135417,27.044453811645507
10,26.401579284667967,27.038402048746743
11,26.483250172932944,27.054538599650066
12,26.424340184529623,27.049600982666014
13,26.492343393961587,27.061441040039064
14,26.429678217569986,27.05257199605306
15,26.503623326619465,27.072787857055665
16,26.443879699707033,27.06367212931315
17,26.5184689839681,27.081869888305665
18,26.45231030782064,27.070476404825847
19,26.525850041707358,27.090446345011394
20,26.4712340037028,27.0816473642985
21,26.549326833089193,27.10256690979004
22,26.481657282511392,27.091282272338866
23,26.55041872660319,27.109931564331056
24,26.488622411092123,27.098972702026366
25,26.551979064941406,27.11488240559896
26,26.482579040527344,27.10474548339844
27,26.552967834472657,27.120016225179036
28,26.476447296142577,27.112309392293295
29,26.540589141845704,27.130668512980144
30,26.462269083658853,27.11664810180664
31,26.52669766743978,27.132783889770508
32,26.46649309794108,27.1262570699056
33,26.54859504699707,27.149420420328777
34,26.47777328491211,27.138419342041015
35,26.53849678039551,27.157959111531575
36,26.484930674235027,27.153864669799805
37,26.55158373514811,27.172288513183595
38,26.519826253255207,27.173165384928385
39,26.582958094278972,27.195233408610026
40,26.527760569254557,27.18910166422526
41,26.594173177083334,27.214936701456704
42,26.552268727620444,27.214682006835936
43,26.61995735168457,27.23368593851725
44,26.57936897277832,27.233659489949545
45,26.660503641764322,27.26119155883789
46,26.61930974324544,27.258333079020183
47,26.68424695332845,27.28182538350423
48,26.63141123453776,27.27732124328613
49,26.711660130818686,27.304872258504233
50,26.669364547729494,27.30496139526367
51,26.73393300374349,27.326604970296223
52,26.6928960164388,27.324603525797524
53,26.747449493408205,27.346402231852213
54,26.725787607828774,27.350177637736003
55,26.781335830688477,27.372421137491862
56,26.761707560221353,27.372321319580077
57,26.813003285725912,27.392000834147137
58,26.785665639241536,27.388479232788086
59,26.84190788269043,27.410959243774414
60,26.830271021525064,27.41414655049642
61,26.880503590901693,27.43401616414388
62,26.866076278686524,27.4333740234375
63,26.925243759155272,27.457862218221027
64,26.894794464111328,27.451850255330402
65,26.96546745300293,27.479600397745767
66,26.9494810740153,27.478534698486328
67,27.006165822347004,27.503165435791015
68,26.994602076212566,27.505041122436523
69,27.052744801839193,27.528399149576824
70,27.04432576497396,27.527813975016276
71,27.10512008666992,27.55504035949707
72,27.099743525187176,27.558627573649087
73,27.15220896402995,27.586217244466145
74,27.15999501546224,27.59102643330892
75,27.201110331217446,27.614415868123373
76,27.19799461364746,27.617140833536784
77,27.24804967244466,27.643923950195312
78,27.246250661214194,27.644707489013673
79,27.300050862630208,27.669187800089517
80,27.299838002522787,27.669722239176433
81,27.346398417154948,27.694211578369142
82,27.348354466756184,27.694017028808595
83,27.391385777791342,27.715473302205403
84,27.37796427408854,27.711239115397134
85,27.43276570638021,27.733834966023764
86,27.41869773864746,27.728438949584962
87,27.46842155456543,27.751329803466795
88,27.4690736134847,27.74886360168457
89,27.508807754516603,27.766984049479166
90,27.512197748819986,27.76119384765625
91,27.560351943969728,27.781061045328777
92,27.56924196879069,27.779195276896157
93,27.619738133748374,27.799111811319985
94,27.61969820658366,27.794648742675783
95,27.649435170491536,27.806462478637695
96,27.65177281697591,27.80277264912923
97,27.69802055358887,27.823835118611655
98,27.697943115234374,27.817720540364583
99,27.737520345052083,27.834517669677734
100,27.733241653442384,27.831549835205077
101,27.772615687052408,27.846752039591472
102,27.76010004679362,27.837496693929037
103,27.800624084472656,27.853658167521157
104,27.785097249348958,27.846316528320312
105,27.815920893351237,27.85920944213867
106,27.811915079752605,27.854172897338866
107,27.831374486287434,27.863441467285156
108,27.815024439493815,27.853110122680665
109,27.842297744750976,27.867896016438802
110,27.832387161254882,27.861240259806316
111,27.858045196533205,27.870090993245444
