date,member01,member02,member03,member04,member05,member06,member07,member08,member09,member10,member11,member12,member13,member14,member15,member16,member17,member18,member19,member20,member21,member22,member23,member24,member25,member26,member27,member28,member29,member30,member31,member32,member33,member34,member35,member36,member37,member38,member39,member40,member41,member42,member43,member44,member45,member46,member47,member48,member49,member50,init_date,n_gridpoints
2026-08-22,16.7367,16.7582,16.8321,16.8221,16.7002,16.7119,16.8017,16.8736,16.7511,16.7991,16.7469,16.7263,16.8156,16.8172,16.6944,16.7893,16.7354,16.8128,16.689,16.7066,16.7889,16.7806,16.7943,16.7991,16.749,16.8177,16.8075,16.7167,16.7924,16.7779,16.7909,16.7043,16.7791,16.6902,16.7725,16.7709,16.7996,16.7718,16.7653,16.772,16.7564,16.7457,16.7971,16.7963,16.7162,16.7455,16.7005,16.8109,16.7649,16.7779,2026-08-22,432
2026-08-23,16.7401,16.766,16.8372,16.7794,16.6825,16.7333,16.7902,16.8213,16.7274,16.7714,16.7309,16.7375,16.7477,16.7628,16.679,16.721,16.7062,16.7942,16.6996,16.7175,16.7333,16.7738,16.7596,16.759,16.7245,16.7615,16.7959,16.7115,16.7428,16.7719,16.7743,16.6716,16.7079,16.7055,16.7341,16.7693,16.7738,16.7164,16.8022,16.7464,16.6826,16.7561,16.7619,16.7368,16.7039,16.6929,16.6894,16.8096,16.7645,16.7277,2026-08-22,432
2026-08-24,16.7958,16.8165,16.8514,16.7833,16.72,16.7025,16.8081,16.8993,16.7085,16.8301,16.7758,16.6941,16.7692,16.8316,16.6951,16.7415,16.7714,16.8262,16.7087,16.7311,16.7062,16.8155,16.8127,16.795,16.735,16.7949,16.8042,16.6819,16.732,16.7712,16.7634,16.7099,16.6722,16.7248,16.724,16.7999,16.7564,16.7616,16.7794,16.7671,16.7275,16.763,16.7648,16.7426,16.733,16.6965,16.7464,16.7915,16.8101,16.7683,2026-08-22,432
2026-08-25,16.7809,16.7899,16.855,16.7844,16.7674,16.7402,16.8079,16.913,16.6926,16.8321,16.824,16.7765,16.7915,16.8862,16.7294,16.8212,16.7737,16.8277,16.7072,16.7204,16.7473,16.8157,16.8717,16.84,16.7231,16.8412,16.8682,16.7614,16.7708,16.783,16.7844,16.7726,16.7521,16.7826,16.7765,16.7981,16.7722,16.8351,16.7224,16.8134,16.7657,16.8409,16.8267,16.7628,16.7875,16.7709,16.7652,16.8587,16.859,16.7956,2026-08-22,432
2026-08-26,16.7812,16.7398,16.8182,16.7948,16.7569,16.7508,16.8058,16.9152,16.7236,16.8424,16.7567,16.7468,16.7623,16.8523,16.7426,16.767,16.7685,16.807,16.6145,16.6944,16.7308,16.7986,16.8995,16.8471,16.7568,16.8011,16.9304,16.7402,16.7266,16.7593,16.8081,16.7501,16.7544,16.7683,16.7502,16.8119,16.693,16.852,16.7056,16.8071,16.7397,16.8342,16.8374,16.7057,16.7274,16.7959,16.732,16.823,16.8334,16.7467,2026-08-22,432
2026-08-27,16.7332,16.7223,16.7957,16.7758,16.6917,16.6758,16.8084,16.886,16.7829,16.7683,16.7239,16.6224,16.6546,16.787,16.6888,16.66,16.6778,16.8394,16.51,16.6954,16.6344,16.7464,16.7932,16.76,16.6817,16.7677,16.8798,16.7095,16.6244,16.6507,16.7431,16.6817,16.7316,16.7623,16.7033,16.8142,16.6471,16.7967,16.5753,16.7503,16.6397,16.7296,16.8108,16.6365,16.6533,16.7502,16.6285,16.7398,16.688,16.6781,2026-08-22,432
2026-08-28,16.7212,16.6918,16.7342,16.7056,16.6206,16.6332,16.7234,16.8953,16.6484,16.6923,16.6509,16.5109,16.5798,16.6988,16.5941,16.6138,16.5904,16.8082,16.4994,16.5634,16.62,16.6333,16.7211,16.6983,16.6743,16.7003,16.7927,16.6365,16.6515,16.6781,16.69,16.5321,16.7714,16.6884,16.6249,16.6684,16.61,16.6758,16.4337,16.6515,16.5053,16.5813,16.7785,16.6082,16.6731,16.6442,16.6467,16.6971,16.5998,16.6712,2026-08-22,432
2026-08-29,16.702,16.5484,16.6807,16.5932,16.5478,16.5874,16.5941,16.7791,16.5273,16.6746,16.5753,16.4326,16.5528,16.5731,16.5994,16.5177,16.4416,16.7963,16.5118,16.5202,16.5419,16.5457,16.6026,16.6877,16.5788,16.6488,16.7328,16.5188,16.5769,16.6413,16.6183,16.4679,16.6877,16.5536,16.5882,16.5744,16.5321,16.5221,16.5122,16.5056,16.4584,16.536,16.6882,16.6343,16.6218,16.5594,16.5146,16.6852,16.6209,16.4905,2026-08-22,432
2026-08-30,16.6976,16.4656,16.7026,16.5607,16.4831,16.5646,16.5591,16.7273,16.463,16.62,16.5564,16.4434,16.547,16.5059,16.5784,16.4081,16.533,16.7047,16.4468,16.4822,16.4818,16.4911,16.6106,16.5949,16.6052,16.6193,16.6197,16.4447,16.657,16.5719,16.64,16.4482,16.6368,16.5455,16.5393,16.5968,16.408,16.4834,16.5402,16.5522,16.5352,16.5072,16.6888,16.5778,16.6248,16.4733,16.4375,16.5682,16.5201,16.4515,2026-08-22,432
2026-08-31,16.5453,16.365,16.6121,16.5532,16.4345,16.5535,16.5643,16.6237,16.4072,16.5537,16.422,16.3988,16.5504,16.4874,16.5258,16.3963,16.438,16.6408,16.4922,16.4343,16.3991,16.5368,16.524,16.5389,16.6182,16.628,16.5129,16.3656,16.6205,16.4841,16.5507,16.3479,16.6229,16.6294,16.4757,16.5785,16.3389,16.4789,16.4503,16.383,16.5181,16.4645,16.6737,16.5622,16.5767,16.4765,16.3877,16.4926,16.4317,16.4465,2026-08-22,432
