source,model,model_type,init_date,target_month,lead_months,nino34_anom,tropical_mean_anom,roni_anom,member_id,temporal_resolution,anomaly_base_period
C3S,ECMWF,dynamical,2026-08-01,2026-08,0,2.8701,0.8768,1.9933,ens_000,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-09,1,3.4717,1.0213,2.4504,ens_000,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-10,2,3.8944,1.1785,2.7159,ens_000,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-11,3,4.0646,1.243,2.8216,ens_000,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-12,4,4.0999,1.3671,2.7327,ens_000,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2027-01,5,3.9957,1.4753,2.5203,ens_000,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-08,0,2.8812,0.8306,2.0505,ens_001,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-09,1,3.4104,0.9648,2.4456,ens_001,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-10,2,3.7821,1.0324,2.7497,ens_001,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-11,3,4.0362,1.1567,2.8794,ens_001,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-12,4,4.1374,1.222,2.9154,ens_001,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2027-01,5,4.1089,1.3249,2.784,ens_001,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-08,0,3.0071,0.8713,2.1358,ens_002,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-09,1,3.7155,1.0326,2.6828,ens_002,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-10,2,4.0477,1.2663,2.7814,ens_002,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-11,3,4.1474,1.3679,2.7796,ens_002,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-12,4,4.2048,1.4255,2.7793,ens_002,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2027-01,5,4.1683,1.4556,2.7127,ens_002,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-08,0,2.8607,0.8319,2.0288,ens_003,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-09,1,3.4567,0.9941,2.4626,ens_003,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-10,2,3.6477,1.0666,2.5811,ens_003,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-11,3,3.8984,1.2066,2.6919,ens_003,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-12,4,4.0703,1.3256,2.7447,ens_003,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2027-01,5,4.0592,1.3574,2.7018,ens_003,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-08,0,2.9964,0.919,2.0775,ens_004,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-09,1,3.4198,1.1024,2.3174,ens_004,monthly,1993-2016
C3S,ECMWF,dynamical,2026-08-01,2026-10,2,3.9789,1.2912,2.6877,ens_004,monthly,1993-2016
