year,month,global_mean,global_min,global_max,global_anomaly,africa_mean,africa_min,africa_max,africa_anomaly,antarctica_mean,antarctica_min,antarctica_max,antarctica_anomaly,asia_mean,asia_min,asia_max,asia_anomaly,europe_mean,europe_min,europe_max,europe_anomaly,north_america_mean,north_america_min,north_america_max,north_america_anomaly,oceania_mean,oceania_min,oceania_max,oceania_anomaly,south_america_mean,south_america_min,south_america_max,south_america_anomaly,usa_mean,usa_min,usa_max,usa_anomaly,china_mean,china_min,china_max,china_anomaly,india_mean,india_min,india_max,india_anomaly,australia_mean,australia_min,australia_max,australia_anomaly,eu_mean,eu_min,eu_max,eu_anomaly,russia_mean,russia_min,russia_max,russia_anomaly,brazil_mean,brazil_min,brazil_max,brazil_anomaly
1940,1,11.496664614105976,-43.89383,33.57492,-0.9450708752392902,20.6959319966502,-10.636017,30.485077,-0.7622942185753558,-8.510904177662574,-36.266876,5.1686707,-0.5835333982763222,2.512590194872288,-43.89383,30.344452,-1.9802460611603008,-5.833905639280304,-33.41922,15.055389,-5.748357491851701,6.140406594021004,-38.610626,29.338593,-0.7581175538541238,22.780738439086623,5.23703,33.57492,-0.8641279344353947,20.68313800179429,-3.5344543,29.901093,-0.8184345403266029,1.632794528205337,-18.022736,22.96164,-3.599409560872224,-2.8779385656579564,-32.18875,24.500702,-1.2875308318988328,12.609489167689675,-29.727814,26.11789,-0.5490202677297056,23.961828400900806,10.029999,33.57492,-1.1581770796119315,-2.586731089102188,-24.438751,15.055389,-5.077290131068789,-19.03527448604145,-43.89383,7.9499207,-3.644604756416717,23.378155401913983,-3.5344543,29.901093,-0.9920849762076572
1940,2,11.872165709939186,-47.628113,35.11212,-0.857347454000255,21.68949225677974,-7.942566,30.678528,-0.8079043469083089,-11.85795998592054,-47.628113,5.914856,-1.188218238433297,4.281355032993253,-37.19452,29.985168,-1.4322572931635549,-3.2095380892037726,-21.600769,15.323059,-3.544237226318641,6.342760996895883,-36.915222,30.762512,-0.7989993845489218,23.102017641407567,5.1921997,35.11212,-0.5542992928011614,20.94500575895872,-0.42108154,31.121887,-0.63059270643042,4.346782458231334,-15.430847,22.319153,-2.095255097915069,-0.1646316017325282,-29.700378,26.344543,-1.5017726079376532,13.9785710352127,-29.700378,27.576965,-1.1287353560800106,24.356362597891,10.416809,35.11212,-0.4705390369924309,-0.8430268949626595,-20.997253,15.323059,-3.57414864715866,-15.716712174973024,-37.19452,9.106262,-1.9463023057983635,23.49474910937447,-0.42108154,30.93634,-0.8121540550161512
1940,3,12.524001776687662,-59.47525,33.58725,-0.8850790156189721,22.12871886192189,-7.922516,30.835297,-1.5644199624592474,-15.56515715868512,-59.47525,5.8997498,-0.6188923531261974,7.311483244219816,-37.254547,30.73764,-1.9283368501677256,0.6665211633517688,-23.62564,15.8333435,-2.981157043252694,8.192037024610325,-38.46353,31.698578,-0.5335871771245095,22.785085785729493,4.981781,33.58725,-0.3355038931042848,20.668344446656693,-1.8795471,31.698578,-0.5760201496751414,7.447283137038339,-11.633453,23.473969,-2.192081498545563,5.065144524196776,-25.996735,29.145844,-1.502364142357619,15.89471593324958,-25.996735,30.370453,-2.3372183903038586,23.853303454647687,10.01889,33.58725,0.016853095363384,2.323951667658887,-17.252594,15.8333435,-2.842417346813129,-9.926698020635255,-37.254547,11.085297,-1.9524057651578104,23.327697666779738,-0.41470337,31.542328,-0.6973112013707663
1940,4,13.75689218238547,-64.93758,33.341705,-0.6047828261545796,23.31342983829016,3.0838928,33.341705,-1.1807278635774772,-19.424469040825343,-64.93758,4.0663147,-1.019805524272968,12.624430615003924,-25.211014,33.16397,-1.0265674903893096,7.140266247982792,-12.841888,22.322174,-1.0700896986607304,11.354511627513109,-30.343826,29.466705,-0.3467677353724561,21.87224463502379,0.14639282,30.216705,-0.1787117635125703,19.78618541719396,-4.291107,28.492096,-0.539059508733164,11.23958081253606,-5.7207947,25.54483,-2.216590143432356,10.612837495546264,-21.92781,32.69522,-1.9703649280166784,19.893482911655138,-21.92781,32.69522,-1.4317772312966532,22.37122368557794,5.509674,30.216705,0.4225076471010709,7.183013341768194,-8.234467,21.437408,-1.4865780328591187,-1.022023843513266,-25.211014,19.134674,-0.510692547484873,22.55878631239352,-4.291107,28.00772,-0.6944155800487195
1940,5,14.745552209057616,-62.378235,36.56122,-0.5162032627608308,24.040734287746847,2.6686401,35.283875,-0.8224737767688701,-20.18438421737049,-62.378235,3.5651245,0.2738755612162649,16.43805760524572,-15.7942505,36.56122,-1.1847982992309731,11.265376514441405,-9.276672,27.76825,-1.7263986219306542,14.578906291063236,-19.622375,30.779968,-0.4708464022318797,20.088937637514608,-0.8040161,28.10614,-0.4882072209797492,18.50733809589893,-12.249329,28.092468,-0.6053538846493183,16.36706124766891,0.2975464,28.053406,-1.2933148134374015,15.875780225999076,-15.7942505,36.153015,-1.2774790738153214,22.519361492177257,-15.7942505,36.56122,-0.8729096539158725,19.189034054087337,3.6393433,28.10614,-0.0644808400979641,11.586669800301218,-1.6165161,25.164734,-1.101185556116711,4.787899467637776,-12.30011,26.529968,-1.6508118086673518,21.74435742099764,-12.249329,28.092468,-0.2898542865998337
1940,6,15.314811342561754,-71.735214,38.606598,-0.6681573517204722,23.89487993404509,-0.36019897,37.592926,-0.7716383430282896,-24.137582763696216,-71.735214,2.5265198,-2.38607254901288,19.9932267753973,-12.838715,38.606598,-0.8086500005933779,16.280948407203045,0.022613525,33.02066,-0.822555626296051,17.410988265635215,-12.407074,33.104645,-0.6160515362460401,18.700609066865223,-4.2137146,27.755035,-0.555374105909415,17.775488439747868,-16.961761,28.571442,-0.3811191210389815,20.72171467025193,2.7257385,33.104645,-0.786361571470394,19.673251739982927,-12.838715,37.786285,-0.9109390040208788,23.266361270039702,-12.838715,38.606598,-0.6563078527148818,17.01696378432504,1.7745667,26.450348,-0.1073872871151522,15.718331715610375,0.7374573,29.68277,-0.6762052970025003,11.566041831445007,-6.1824646,33.13199,-0.8804773383922928,20.946111263471145,-16.961761,27.854645,-0.2701350459485923
1940,7,15.779441340464604,-66.07649,39.206696,-0.4502984432879859,23.733655276364043,1.1930237,39.173492,-0.5952069363810182,-24.068520973710424,-66.07649,3.4879456,-0.6995232746123783,21.551992328466323,-8.367523,39.206696,-0.6910999607088577,18.9632902450934,1.5309143,35.763336,-0.6936883266657539,19.324606064883007,-10.131195,34.579742,-0.4977881458473803,18.394373285180592,-5.801117,27.903961,-0.2537115362051949,17.441357037496793,-16.92221,29.749664,-0.2601822789816808,22.89320315586989,7.2672424,34.579742,-0.8020318857417053,21.73426453520145,-8.367523,37.495758,-0.3935076236757702,22.959254256860667,-8.367523,39.126617,-0.6616255988137745,16.536068273749837,2.2496643,25.976227,0.0551638136034107,17.831415346331017,3.4293518,33.42154,-1.0567306347471046,14.446668895406765,-3.3714294,36.970367,-0.7656629565353938,20.958435945634648,-16.92221,29.04068,0.0486397575265158
1940,8,15.612723449789987,-68.188934,39.52005,-0.4991298521500003,23.86444957572172,3.5278625,39.52005,-0.4495867382106944,-24.90814438994325,-68.188934,2.8755188,-1.3584585074584226,21.13213285592171,-9.472137,39.52005,-0.6056712288428301,18.892299658118137,1.004425,36.355988,-0.2688926344499123,19.338053195819967,-13.337372,34.730988,-0.583310548086267,18.4557092783041,-5.560028,28.180206,-0.3923933758250868,17.61371588798979,-15.212372,30.061066,-0.6502617461532658,22.70413429374844,8.578644,34.730988,-0.6541174880193346,20.163317687225096,-9.472137,32.80716,-1.1356668306409323,21.93424857532264,-9.472137,32.471222,-1.2423354653182983,17.297321998484165,0.88723755,26.854034,0.0475407621383148,17.56320746244904,4.516144,32.9888,-1.223700214127252,13.945655899994774,-4.515106,32.80716,-0.0679354700119656,21.17851143517951,-15.212372,30.061066,-0.6479168978574279
1940,9,14.811592051324572,-67.853134,34.45938,-0.6347821564754561,23.41978823001226,6.4086,34.45938,-0.8887899287562959,-23.985118571140088,-67.853134,3.4671936,-1.556670263898955,18.269216809084813,-16.515228,34.25235,-0.8621522588130652,15.21331604779476,0.22695923,30.404694,-0.0125589947694084,17.862882022377853,-21.784775,31.367584,-0.2658628786367494,19.23463294215754,-4.870697,29.926178,-0.6252748814120856,18.10216120621392,-13.546478,30.307037,-0.8262908921268419,20.01052248584444,4.3265686,31.367584,-0.5889098034429274,16.52239588619365,-16.515228,33.510162,-1.2051262423238605,20.803864150003868,-16.515228,34.023834,-1.4301841257012915,18.632758518435853,2.0960999,29.926178,-0.7176735382036838,14.649334824925369,0.22695923,27.68985,-0.7485707317693908,8.43030855883641,-10.980072,24.742584,-0.5105165787656034,21.662411041427006,-13.546478,30.307037,-1.1103772338090714
1940,10,13.633180653599268,-63.75241,33.077667,-0.8134596465227215,22.90902312262013,4.7846985,32.655792,-0.8017501940231746,-20.98884456538952,-63.75241,3.5659485,-2.3456530996117664,13.536859666292166,-24.717255,32.655792,-1.3639116170191858,8.834232760563665,-12.564911,24.851105,-1.4710625788471337,14.42511896559957,-27.738739,27.851105,-0.5286683614644474,20.627350909019405,0.480011,33.077667,-0.3614161450381417,18.61322013728051,-11.582489,30.878448,-1.068350572320849,15.928918813462763,-1.2016296,27.702667,0.1069251737629564,11.810188938235887,-23.000458,29.405792,-0.3791376473038816,19.227072659482207,-23.000458,30.792511,-0.6770166818023533,21.353344706133704,6.903839,33.077667,-0.0664411852590909,10.021312501001738,-4.5863953,23.700714,-1.1651599219245448,-1.1180207027332092,-24.717255,19.312042,-2.417759946278929,22.27738080456304,-11.582489,30.878448,-1.272270411771732
