date,member01,member02,member03,member04,member05,member06,member07,member08,member09,member10,member11,member12,member13,member14,member15,member16,member17,member18,member19,member20,member21,member22,member23,member24,member25,member26,member27,member28,member29,member30,member31,member32,member33,member34,member35,member36,member37,member38,member39,member40,member41,member42,member43,member44,member45,member46,member47,member48,member49,member50,init_date,n_gridpoints
2026-09-26,15.8612,15.8188,15.8432,15.9123,15.9403,15.8783,15.9075,15.8626,15.9362,15.7404,15.8876,15.7661,15.9083,15.8781,15.8647,15.8601,15.8784,15.8644,15.9076,15.8503,15.8642,15.9031,15.9089,15.8252,15.8262,15.9191,15.8482,15.8461,15.89,15.8378,15.828,15.8748,15.8732,15.8673,15.8309,15.8174,15.8271,15.8166,15.8823,15.8498,15.9471,15.8008,15.8363,15.8447,15.8421,15.8392,15.8514,15.8474,15.8795,15.9008,2026-09-26,432
2026-09-27,15.7323,15.7104,15.7051,15.8129,15.7938,15.7871,15.7781,15.7273,15.7853,15.6023,15.8037,15.6684,15.7933,15.7449,15.731,15.7331,15.789,15.7776,15.7639,15.7205,15.7793,15.7929,15.7729,15.7524,15.7782,15.7814,15.7379,15.6987,15.8192,15.7116,15.7316,15.7883,15.7973,15.7349,15.7215,15.7264,15.6713,15.7283,15.7582,15.724,15.8555,15.6765,15.7288,15.7593,15.7053,15.7534,15.7733,15.723,15.746,15.7768,2026-09-26,432
2026-09-28,15.7086,15.6715,15.6213,15.7597,15.7529,15.7047,15.6581,15.693,15.7307,15.536,15.7128,15.6179,15.7377,15.661,15.6798,15.6722,15.7176,15.7488,15.6936,15.6798,15.6808,15.7644,15.7037,15.6475,15.6566,15.7414,15.6974,15.6746,15.8091,15.6652,15.6754,15.755,15.6957,15.6683,15.6591,15.6479,15.6707,15.7284,15.7554,15.6961,15.749,15.6429,15.7216,15.6816,15.6415,15.7068,15.7084,15.668,15.7095,15.724,2026-09-26,432
2026-09-29,15.5937,15.5398,15.5788,15.709,15.6837,15.6511,15.6026,15.5754,15.6612,15.4919,15.6152,15.5025,15.696,15.5668,15.505,15.5557,15.6327,15.5658,15.6319,15.5897,15.5807,15.6732,15.6322,15.5817,15.5839,15.6252,15.6054,15.5532,15.6182,15.6259,15.5745,15.6404,15.5966,15.5398,15.5783,15.5367,15.5914,15.5819,15.651,15.5452,15.6613,15.5387,15.6624,15.6043,15.5628,15.587,15.5775,15.5495,15.6483,15.6138,2026-09-26,432
2026-09-30,15.5511,15.4405,15.5117,15.6133,15.6295,15.6243,15.6125,15.5334,15.6815,15.4209,15.5592,15.4656,15.6008,15.5061,15.4985,15.4896,15.5844,15.5625,15.5631,15.5242,15.5162,15.6136,15.6019,15.5787,15.5771,15.5514,15.5303,15.5481,15.6168,15.5382,15.5764,15.5132,15.599,15.4875,15.5863,15.4062,15.5701,15.477,15.5966,15.5545,15.5951,15.5752,15.5648,15.5682,15.5783,15.6075,15.5272,15.509,15.5998,15.5565,2026-09-26,432
2026-10-01,15.5461,15.4454,15.4782,15.556,15.5753,15.619,15.5258,15.5517,15.5528,15.4184,15.5096,15.4261,15.521,15.4186,15.4548,15.4675,15.5571,15.5103,15.473,15.4537,15.4307,15.5947,15.5083,15.5143,15.5147,15.545,15.4978,15.5685,15.5194,15.4764,15.5323,15.496,15.5723,15.4948,15.5258,15.3909,15.4591,15.4565,15.6091,15.5242,15.5973,15.5229,15.5347,15.496,15.5215,15.5642,15.4607,15.4838,15.4907,15.491,2026-09-26,432
2026-10-02,15.5325,15.4525,15.4509,15.5292,15.4776,15.5485,15.4347,15.5274,15.5469,15.3364,15.4628,15.3968,15.4048,15.4569,15.4187,15.4256,15.4591,15.4135,15.4233,15.3852,15.3867,15.534,15.4639,15.4105,15.4926,15.4582,15.4013,15.561,15.4351,15.3388,15.5265,15.5475,15.4504,15.3773,15.4454,15.323,15.3945,15.4155,15.5594,15.4559,15.5578,15.3727,15.4922,15.4653,15.3521,15.4028,15.4032,15.4661,15.44,15.4824,2026-09-26,432
2026-10-03,15.5518,15.4687,15.4543,15.5546,15.4267,15.4655,15.4233,15.4853,15.5094,15.281,15.522,15.3566,15.468,15.5693,15.392,15.4595,15.3116,15.3982,15.4981,15.2994,15.4264,15.5837,15.5185,15.3207,15.3991,15.491,15.3753,15.4973,15.4432,15.3153,15.5351,15.5566,15.4283,15.2763,15.4654,15.2769,15.2918,15.3849,15.5156,15.4557,15.5343,15.3123,15.3793,15.464,15.4005,15.3217,15.4031,15.4706,15.5209,15.509,2026-09-26,432
2026-10-04,15.5523,15.423,15.5558,15.5371,15.3865,15.5071,15.4069,15.4689,15.4333,15.2673,15.535,15.2909,15.5342,15.5672,15.3532,15.4265,15.3208,15.4041,15.5043,15.1795,15.4563,15.5957,15.4624,15.2457,15.2792,15.4138,15.2929,15.3989,15.5151,15.3949,15.5114,15.5568,15.3822,15.4477,15.4433,15.3558,15.2948,15.3598,15.4674,15.4866,15.4718,15.2762,15.3349,15.5262,15.4805,15.3957,15.4234,15.3835,15.5847,15.4451,2026-09-26,432
2026-10-05,15.607,15.331,15.5678,15.5239,15.3813,15.4716,15.2768,15.3698,15.4953,15.2341,15.6091,15.3199,15.5597,15.4671,15.4133,15.3433,15.3573,15.3991,15.5997,15.1502,15.429,15.6155,15.4654,15.3518,15.196,15.3575,15.2755,15.423,15.5703,15.4517,15.5284,15.6254,15.3411,15.6439,15.4391,15.4009,15.3318,15.4273,15.4284,15.452,15.4102,15.2883,15.4023,15.5416,15.4596,15.4425,15.4897,15.3623,15.5458,15.4171,2026-09-26,432
2026-10-06,15.4708,15.3256,15.5297,15.4279,15.374,15.4311,15.3011,15.3763,15.4227,15.2709,15.5482,15.2949,15.6161,15.4114,15.3757,15.2557,15.473,15.4203,15.5959,15.1827,15.4361,15.5324,15.5217,15.2459,15.2362,15.3603,15.3231,15.4629,15.534,15.347,15.654,15.5815,15.3198,15.6288,15.4379,15.4112,15.3538,15.4456,15.448,15.3894,15.3172,15.1975,15.3677,15.4194,15.445,15.4476,15.5657,15.3601,15.4342,15.3674,2026-09-26,432
2026-10-07,15.4845,15.3731,15.4402,15.4126,15.3427,15.4099,15.2528,15.3243,15.4286,15.3102,15.5445,15.3266,15.5679,15.3804,15.3432,15.2173,15.3844,15.3538,15.5842,15.2811,15.3096,15.5171,15.5592,15.2111,15.2242,15.3779,15.3464,15.4232,15.5562,15.3143,15.6767,15.5471,15.2596,15.6798,15.439,15.3674,15.4081,15.4245,15.4493,15.4243,15.3545,15.3056,15.3835,15.3947,15.467,15.4446,15.551,15.4024,15.4771,15.4447,2026-09-26,432
