target_month,n_models,oni_q25,oni_q50,oni_q75,roni_q25,roni_q50,roni_q75,mature
2026-06,6,1.2885519607843137,1.3969409019607837,1.47735,0.9555476157843136,1.0351759307640571,1.1691428840752676,True
2026-07,14,1.7748974449808457,1.9159371800548175,2.1266422931662667,1.3183448403870963,1.4912603617036118,1.654678770854705,True
2026-08,14,2.2680095806451614,2.583030840442549,2.8680375186224847,1.7667613254746553,2.1178116767058803,2.407927515039779,True
2026-09,14,2.5931332623195904,2.926328621099733,3.300712584957737,2.0472510841638596,2.452176839069396,2.8641024134520308,True
2026-10,14,2.6781289784946223,3.1658055274149093,3.554696842672019,2.2009678907012606,2.715036926235451,3.1646109197259444,True
2026-11,14,2.758205697870544,3.3488240139361456,3.9072596795102963,2.2606836168400424,2.8337988921108415,3.362876334289523,True
2026-12,8,2.9715333333333325,3.5354875255360323,4.125343333333325,2.558039423333332,2.9305073840333944,3.7110382269999946,True
2027-01,7,2.634699999999999,3.0985164612787415,4.0977,2.0935433705647783,2.4550455683333334,3.8247420699999983,True
2027-02,7,2.1145639131863905,2.7253038088480603,3.5667,1.5858407020686327,2.069417595,3.3449293749999995,True
2027-03,7,1.7458375757575753,2.2512097218831375,3.1487999999999987,1.2853495199999998,1.7659857799999998,2.9828448000000005,True
