target_month,n_models,oni_q25,oni_q50,oni_q75,roni_q25,roni_q50,roni_q75,mature
2026-03,7,-0.2018768319559238,-0.03914466666667447,0.11324508264462801,,,,True
2026-04,11,0.13452368457300273,0.2535941387133365,0.4607418539944899,,,,True
2026-05,11,0.46117705882352933,0.6503611813320368,0.9043606404958674,,,,True
2026-06,11,0.867569950980392,1.09474256198347,1.3499198347107437,,,,True
2026-07,11,1.120983333333333,1.52910920758386,1.8528666666666667,,,,True
2026-08,11,1.3293719999999998,1.837966909942966,2.2151265686274395,,,,True
2026-09,7,1.598925769693711,2.116966906585693,2.563553431372549,,,,True
2026-10,6,1.5433999999999994,2.223349999999999,2.935075,,,,True
2026-11,6,1.8674922875881195,2.4864,3.1388063430786133,,,,True
2026-12,3,1.2584999999999997,2.07105731964111,2.414224082565307,,,,True
