target_month,n_models,oni_q25,oni_q50,oni_q75,roni_q25,roni_q50,roni_q75,mature
2026-05,9,0.829528431372549,0.9661264705882342,1.0833499999999954,0.43297264941176455,0.6033686599999953,0.7445323324848482,True
2026-06,13,1.2779833333333332,1.397504883380938,1.5585,0.7955282435011011,0.9950838919615212,1.1770873186248854,True
2026-07,13,1.6645549019607842,1.9290921363366282,2.194088584238103,1.213311367311618,1.4413726155529383,1.7338112954636367,True
2026-08,13,2.053283722249229,2.4008156951871653,2.8675402570361923,1.5351637342802347,1.8840912219478199,2.3446574075950712,True
2026-09,13,2.293082270296548,2.720490462809916,3.2323904462809883,1.8194810564644237,2.233951118535893,2.7582338584645827,True
2026-10,13,2.368266114081995,2.9712891065737583,3.595504531268698,1.8744035177034508,2.525097979373845,3.1299373257681062,True
2026-11,7,2.8346496732026143,3.4196541666666667,4.1802455592361145,2.274005148235293,2.9544098847058824,3.76125048,True
2026-12,6,2.7296999999999993,3.34199833869934,4.2832,2.3251490112881448,2.811862782622375,3.81482088,True
2027-01,6,2.6192999999999986,3.015789508819579,4.326299999999999,2.07424557,2.3431911100000002,3.89822581,True
2027-02,3,2.14531922340393,2.490699999999998,2.8827767372131308,1.3803887367248535,1.6739608049392698,2.1385067689370727,True
