source,model,model_type,init_date,target_month,lead_months,nino34_anom,member_id,temporal_resolution,anomaly_base_period
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-04,0,0.2929,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-05,1,0.8703,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-06,2,1.3214,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-07,3,1.8521,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-08,4,2.1935,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-09,5,2.2695,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-10,6,2.4973,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-11,7,2.8348,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-12,8,2.4987,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-04,0,0.1758,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-05,1,0.838,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-06,2,1.0204,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-07,3,1.1942,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-08,4,1.4638,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-09,5,1.6262,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-10,6,1.884,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-11,7,1.917,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-12,8,1.9004,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-04,0,0.1949,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-04-01,2026-05,1,0.6234,ens_003,monthly,model-specific
