source,model,model_type,init_date,target_month,lead_months,nino34_anom,tropical_mean_anom,roni_anom,member_id,temporal_resolution,anomaly_base_period
NMME,NCEP-CFSv2,dynamical,2026-09-01,2026-09,0,2.8727,0.9801,1.8925,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2026-10,1,3.5335,1.0354,2.498,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2026-11,2,3.5706,1.0634,2.5072,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2026-12,3,3.3467,1.2007,2.146,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-01,4,2.9233,1.1611,1.7621,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-02,5,2.3515,1.1939,1.1576,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-03,6,1.5418,1.205,0.3367,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-04,7,0.7103,0.9958,-0.2855,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-05,8,0.1919,0.8686,-0.6767,ens_001,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2026-09,0,2.8646,0.9409,1.9237,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2026-10,1,3.6473,1.1434,2.5039,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2026-11,2,4.3525,1.1178,3.2347,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2026-12,3,3.3644,1.2164,2.148,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-01,4,2.6186,1.2207,1.3979,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-02,5,2.2564,1.1096,1.1469,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-03,6,1.4541,1.1206,0.3335,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-04,7,0.9269,0.9261,0.0008,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-05,8,0.9673,0.8304,0.1368,ens_002,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2026-09,0,2.9149,0.8912,2.0236,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2026-10,1,3.4371,0.9893,2.4478,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2026-11,2,3.6815,1.1531,2.5284,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2026-12,3,3.5077,1.0835,2.4242,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-01,4,3.1837,1.1388,2.0449,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-02,5,2.2636,1.1437,1.1198,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-03,6,1.8448,1.1673,0.6775,ens_003,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-09-01,2027-04,7,0.9118,1.0282,-0.1164,ens_003,monthly,model-specific
