source,model,model_type,init_date,target_month,lead_months,nino34_anom,tropical_mean_anom,roni_anom,member_id,temporal_resolution,anomaly_base_period
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.9196,1.0995,1.8201,ens_005,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.2714,1.1748,1.0966,ens_005,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9924,0.6753,0.3171,ens_006,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.2842,0.8205,0.4637,ens_006,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.7317,0.9338,0.798,ens_006,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,1.9604,0.8726,1.0877,ens_006,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.0911,0.8533,1.2378,ens_006,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.353,0.9577,1.3953,ens_006,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,2.5986,0.9669,1.6317,ens_006,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.0668,0.9085,1.1583,ens_006,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,1.5601,0.9146,0.6455,ens_006,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.9664,0.5944,0.372,ens_007,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.072,0.7558,0.3162,ens_007,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,1.4382,0.8304,0.6078,ens_007,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,1.7069,0.8296,0.8772,ens_007,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,1.8864,0.8849,1.0015,ens_007,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.6075,0.8968,1.7107,ens_007,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,2.4965,1.0257,1.4708,ens_007,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.3758,0.9163,1.4595,ens_007,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2027-01,8,2.0095,1.0233,0.9862,ens_007,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-05,0,0.4716,0.6951,-0.2234,ens_008,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-06,1,1.2934,1.1371,0.1563,ens_008,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-07,2,2.4094,1.233,1.1764,ens_008,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-08,3,2.8748,0.8545,2.0203,ens_008,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-09,4,2.8075,0.5754,2.2321,ens_008,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-10,5,2.7242,0.7092,2.0149,ens_008,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-11,6,2.8303,0.9961,1.8342,ens_008,monthly,model-specific
NMME,NCEP-CFSv2,dynamical,2026-05-01,2026-12,7,2.5686,0.9645,1.604,ens_008,monthly,model-specific
