source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.290982723236084,ens_E3_001,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.7364597320556641,ens_E3_001,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,0.9172762036323547,ens_E3_001,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.254099726676941,ens_E3_001,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,1.0686991214752197,ens_E3_001,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,1.024221420288086,ens_E3_001,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,1.3254377841949463,ens_E3_001,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,1.485716700553894,ens_E3_001,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,1.4391018152236938,ens_E3_001,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.3670944273471832,ens_E3_002,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.9566155076026917,ens_E3_002,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.6833029985427856,ens_E3_002,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.9164332151412964,ens_E3_002,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,2.0969300270080566,ens_E3_002,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,2.316391706466675,ens_E3_002,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,3.110109567642212,ens_E3_002,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,3.366985321044922,ens_E3_002,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,2.470691204071045,ens_E3_002,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.35362982749938965,ens_E3_003,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.7139598727226257,ens_E3_003,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.3430774211883545,ens_E3_003,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.560028314590454,ens_E3_003,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,1.6882455348968506,ens_E3_003,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,1.8141742944717407,ens_E3_003,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,2.1472220420837402,ens_E3_003,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,2.3326003551483154,ens_E3_003,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,2.1324126720428467,ens_E3_003,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.3253762125968933,ens_E3_004,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.6302517056465149,ens_E3_004,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.0768153667449951,ens_E3_004,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.8905020952224731,ens_E3_004,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,2.060856580734253,ens_E3_004,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,2.358523368835449,ens_E3_004,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,2.3101072311401367,ens_E3_004,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,2.607865333557129,ens_E3_004,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,2.2897329330444336,ens_E3_004,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.28290992975234985,ens_E3_005,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.7728230357170105,ens_E3_005,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.0862786769866943,ens_E3_005,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.162440299987793,ens_E3_005,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,1.315329670906067,ens_E3_005,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,1.6375809907913208,ens_E3_005,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,2.0280585289001465,ens_E3_005,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,2.1353657245635986,ens_E3_005,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,1.9186925888061523,ens_E3_005,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.33119747042655945,ens_E3_006,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.7351239323616028,ens_E3_006,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.1159743070602417,ens_E3_006,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.852505087852478,ens_E3_006,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,2.074660062789917,ens_E3_006,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,2.1906096935272217,ens_E3_006,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,2.7313618659973145,ens_E3_006,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,3.003929853439331,ens_E3_006,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,2.4637365341186523,ens_E3_006,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.2745822072029114,ens_E3_007,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.8117580413818359,ens_E3_007,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.3399938344955444,ens_E3_007,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.9802159070968628,ens_E3_007,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,1.9070125818252563,ens_E3_007,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,2.0077130794525146,ens_E3_007,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,2.2110190391540527,ens_E3_007,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,2.519196033477783,ens_E3_007,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,1.9692518711090088,ens_E3_007,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.2326992303133011,ens_E3_008,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.7647965550422668,ens_E3_008,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.3736950159072876,ens_E3_008,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.8039114475250244,ens_E3_008,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,1.8753451108932495,ens_E3_008,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,1.9361740350723267,ens_E3_008,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,2.470106601715088,ens_E3_008,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,2.6766560077667236,ens_E3_008,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,2.3559885025024414,ens_E3_008,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.2573556900024414,ens_E3_009,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.7669180631637573,ens_E3_009,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.08182692527771,ens_E3_009,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.580669641494751,ens_E3_009,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,1.8533368110656738,ens_E3_009,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,2.2092087268829346,ens_E3_009,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,2.4276082515716553,ens_E3_009,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,2.7564685344696045,ens_E3_009,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,2.2437708377838135,ens_E3_009,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.32339462637901306,ens_E3_010,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.9663470387458801,ens_E3_010,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.1831566095352173,ens_E3_010,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.6921453475952148,ens_E3_010,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,2.1525964736938477,ens_E3_010,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,2.4681758880615234,ens_E3_010,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,2.7191832065582275,ens_E3_010,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,2.7318921089172363,ens_E3_010,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,2.522099733352661,ens_E3_010,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.2744012475013733,ens_E3_011,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.6909409761428833,ens_E3_011,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.123084306716919,ens_E3_011,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.6741713285446167,ens_E3_011,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,2.0495798587799072,ens_E3_011,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,2.307342767715454,ens_E3_011,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,2.815422296524048,ens_E3_011,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,3.130756378173828,ens_E3_011,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,2.7414653301239014,ens_E3_011,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.16600607335567474,ens_E3_012,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.4688413441181183,ens_E3_012,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,0.7350553274154663,ens_E3_012,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.2466261386871338,ens_E3_012,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,1.5365211963653564,ens_E3_012,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,1.8452492952346802,ens_E3_012,6,monthly,1991-2020
