source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period,roni_anom,tropical_mean_anom
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.160473108291626,ens_E3_005,2,monthly,1991-2020,1.6846575736999512,0.4758155345916748
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.8361618518829346,ens_E3_005,3,monthly,1991-2020,2.260507106781006,0.5756547451019287
CFS,CFSv2,dynamical,2026-05-14,2026-09,2.9575693607330322,ens_E3_005,4,monthly,1991-2020,2.4496328830718994,0.5079364776611328
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.5622236728668213,ens_E3_005,5,monthly,1991-2020,3.0384645462036133,0.523759126663208
CFS,CFSv2,dynamical,2026-05-14,2026-11,3.726996660232544,ens_E3_005,6,monthly,1991-2020,3.1287152767181396,0.5982813835144043
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.4346158504486084,ens_E3_005,7,monthly,1991-2020,2.8249294757843018,0.6096863746643066
CFS,CFSv2,dynamical,2026-05-14,2027-01,3.170891523361206,ens_E3_005,8,monthly,1991-2020,2.502502918243408,0.6683886051177979
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.281280517578125,ens_E3_005,9,monthly,1991-2020,1.4607747793197632,0.8205057382583618
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.3112982511520386,ens_E3_006,1,monthly,1991-2020,0.9272873401641846,0.384010910987854
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.2594666481018066,ens_E3_006,2,monthly,1991-2020,1.8156908750534058,0.4437757730484009
CFS,CFSv2,dynamical,2026-05-14,2026-08,3.1187491416931152,ens_E3_006,3,monthly,1991-2020,2.587088108062744,0.5316610336303711
CFS,CFSv2,dynamical,2026-05-14,2026-09,3.250255584716797,ens_E3_006,4,monthly,1991-2020,2.62646484375,0.6237907409667969
CFS,CFSv2,dynamical,2026-05-14,2026-10,3.6419427394866943,ens_E3_006,5,monthly,1991-2020,3.0252230167388916,0.6167197227478027
CFS,CFSv2,dynamical,2026-05-14,2026-11,3.844975233078003,ens_E3_006,6,monthly,1991-2020,3.1807973384857178,0.6641778945922852
CFS,CFSv2,dynamical,2026-05-14,2026-12,3.237652063369751,ens_E3_006,7,monthly,1991-2020,2.5683748722076416,0.6692771911621094
CFS,CFSv2,dynamical,2026-05-14,2027-01,2.8560941219329834,ens_E3_006,8,monthly,1991-2020,2.1076877117156982,0.7484064102172852
CFS,CFSv2,dynamical,2026-05-14,2027-02,2.801504611968994,ens_E3_006,9,monthly,1991-2020,2.1370251178741455,0.6644794940948486
CFS,CFSv2,dynamical,2026-05-14,2026-06,1.4456424713134766,ens_E3_007,1,monthly,1991-2020,1.0386638641357422,0.4069786071777344
CFS,CFSv2,dynamical,2026-05-14,2026-07,2.073237657546997,ens_E3_007,2,monthly,1991-2020,1.5508952140808105,0.5223424434661865
CFS,CFSv2,dynamical,2026-05-14,2026-08,2.25056529045105,ens_E3_007,3,monthly,1991-2020,1.677398920059204,0.5731663703918457
CFS,CFSv2,dynamical,2026-05-14,2026-09,2.4971604347229004,ens_E3_007,4,monthly,1991-2020,1.9566662311553955,0.5404942035675049
