source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period,roni_anom,tropical_mean_anom
CFS,CFSv2,dynamical,2026-05-20,2026-06,1.3445472717285156,ens_E3_001,1,monthly,1991-2020,0.9871398210525513,0.35740745067596436
CFS,CFSv2,dynamical,2026-05-20,2026-07,2.136622905731201,ens_E3_001,2,monthly,1991-2020,1.6735270023345947,0.46309590339660645
CFS,CFSv2,dynamical,2026-05-20,2026-08,2.813053846359253,ens_E3_001,3,monthly,1991-2020,2.296103000640869,0.5169508457183838
CFS,CFSv2,dynamical,2026-05-20,2026-09,3.2373971939086914,ens_E3_001,4,monthly,1991-2020,2.753024101257324,0.4843730926513672
CFS,CFSv2,dynamical,2026-05-20,2026-10,3.8656718730926514,ens_E3_001,5,monthly,1991-2020,3.2232863903045654,0.6423854827880859
CFS,CFSv2,dynamical,2026-05-20,2026-11,4.138223171234131,ens_E3_001,6,monthly,1991-2020,3.50911545753479,0.6291077136993408
CFS,CFSv2,dynamical,2026-05-20,2026-12,4.027860641479492,ens_E3_001,7,monthly,1991-2020,3.4398529529571533,0.5880076885223389
CFS,CFSv2,dynamical,2026-05-20,2027-01,2.797703981399536,ens_E3_001,8,monthly,1991-2020,1.9640141725540161,0.83368980884552
CFS,CFSv2,dynamical,2026-05-20,2027-02,2.1877808570861816,ens_E3_001,9,monthly,1991-2020,1.2608113288879395,0.9269695281982422
CFS,CFSv2,dynamical,2026-05-20,2026-06,1.4121007919311523,ens_E3_002,1,monthly,1991-2020,1.0566128492355347,0.3554879426956177
CFS,CFSv2,dynamical,2026-05-20,2026-07,2.219027519226074,ens_E3_002,2,monthly,1991-2020,1.7994909286499023,0.4195365905761719
CFS,CFSv2,dynamical,2026-05-20,2026-08,2.868450403213501,ens_E3_002,3,monthly,1991-2020,2.396228075027466,0.47222232818603516
CFS,CFSv2,dynamical,2026-05-20,2026-09,3.238467216491699,ens_E3_002,4,monthly,1991-2020,2.6407864093780518,0.5976808071136475
CFS,CFSv2,dynamical,2026-05-20,2026-10,3.6968767642974854,ens_E3_002,5,monthly,1991-2020,3.09294056892395,0.6039361953735352
CFS,CFSv2,dynamical,2026-05-20,2026-11,4.351043701171875,ens_E3_002,6,monthly,1991-2020,3.7774150371551514,0.5736286640167236
CFS,CFSv2,dynamical,2026-05-20,2026-12,3.341998338699341,ens_E3_002,7,monthly,1991-2020,2.5937607288360596,0.7482376098632812
CFS,CFSv2,dynamical,2026-05-20,2027-01,2.6411991119384766,ens_E3_002,8,monthly,1991-2020,1.7580387592315674,0.8831603527069092
CFS,CFSv2,dynamical,2026-05-20,2027-02,1.9796767234802246,ens_E3_002,9,monthly,1991-2020,1.0286743640899658,0.9510023593902588
CFS,CFSv2,dynamical,2026-05-20,2026-06,1.468623161315918,ens_E3_003,1,monthly,1991-2020,1.0713222026824951,0.39730095863342285
CFS,CFSv2,dynamical,2026-05-20,2026-07,2.362643003463745,ens_E3_003,2,monthly,1991-2020,1.9122979640960693,0.4503450393676758
CFS,CFSv2,dynamical,2026-05-20,2026-08,3.1625611782073975,ens_E3_003,3,monthly,1991-2020,2.656601905822754,0.5059592723846436
CFS,CFSv2,dynamical,2026-05-20,2026-09,3.617936849594116,ens_E3_003,4,monthly,1991-2020,3.0943820476531982,0.523554801940918
CFS,CFSv2,dynamical,2026-05-20,2026-10,3.549847364425659,ens_E3_003,5,monthly,1991-2020,2.993431329727173,0.5564160346984863
CFS,CFSv2,dynamical,2026-05-20,2026-11,3.727905035018921,ens_E3_003,6,monthly,1991-2020,3.1325626373291016,0.5953423976898193
CFS,CFSv2,dynamical,2026-05-20,2026-12,3.58512282371521,ens_E3_003,7,monthly,1991-2020,2.9701905250549316,0.6149322986602783
CFS,CFSv2,dynamical,2026-05-20,2027-01,3.0387473106384277,ens_E3_003,8,monthly,1991-2020,2.341561794281006,0.6971855163574219
CFS,CFSv2,dynamical,2026-05-20,2027-02,2.8827767372131348,ens_E3_003,9,monthly,1991-2020,2.2467386722564697,0.636038064956665
CFS,CFSv2,dynamical,2026-05-20,2026-06,1.3518304824829102,ens_E3_004,1,monthly,1991-2020,0.9647586345672607,0.3870718479156494
CFS,CFSv2,dynamical,2026-05-20,2026-07,2.1195788383483887,ens_E3_004,2,monthly,1991-2020,1.741382122039795,0.37819671630859375
CFS,CFSv2,dynamical,2026-05-20,2026-08,3.051903247833252,ens_E3_004,3,monthly,1991-2020,2.599743366241455,0.4521598815917969
CFS,CFSv2,dynamical,2026-05-20,2026-09,3.5024023056030273,ens_E3_004,4,monthly,1991-2020,3.0055577754974365,0.4968445301055908
CFS,CFSv2,dynamical,2026-05-20,2026-10,3.798434257507324,ens_E3_004,5,monthly,1991-2020,3.3508732318878174,0.44756102561950684
CFS,CFSv2,dynamical,2026-05-20,2026-11,3.9954495429992676,ens_E3_004,6,monthly,1991-2020,3.487799644470215,0.5076498985290527
CFS,CFSv2,dynamical,2026-05-20,2026-12,3.6382577419281006,ens_E3_004,7,monthly,1991-2020,3.0424723625183105,0.59578537940979
CFS,CFSv2,dynamical,2026-05-20,2027-01,2.922166109085083,ens_E3_004,8,monthly,1991-2020,2.144378185272217,0.7777879238128662
CFS,CFSv2,dynamical,2026-05-20,2027-02,2.279472589492798,ens_E3_004,9,monthly,1991-2020,1.4509925842285156,0.8284800052642822
CFS,CFSv2,dynamical,2026-05-20,2026-06,1.3649312257766724,ens_E3_005,1,monthly,1991-2020,0.9855141639709473,0.3794170618057251
CFS,CFSv2,dynamical,2026-05-20,2026-07,2.191453218460083,ens_E3_005,2,monthly,1991-2020,1.7846760749816895,0.40677714347839355
CFS,CFSv2,dynamical,2026-05-20,2026-08,2.6731131076812744,ens_E3_005,3,monthly,1991-2020,2.2467381954193115,0.4263749122619629
CFS,CFSv2,dynamical,2026-05-20,2026-09,3.053356170654297,ens_E3_005,4,monthly,1991-2020,2.658531665802002,0.3948245048522949
CFS,CFSv2,dynamical,2026-05-20,2026-10,3.6311495304107666,ens_E3_005,5,monthly,1991-2020,3.1926393508911133,0.4385101795196533
CFS,CFSv2,dynamical,2026-05-20,2026-11,3.904104232788086,ens_E3_005,6,monthly,1991-2020,3.4325802326202393,0.4715240001678467
CFS,CFSv2,dynamical,2026-05-20,2026-12,3.742119550704956,ens_E3_005,7,monthly,1991-2020,3.1664040088653564,0.5757155418395996
CFS,CFSv2,dynamical,2026-05-20,2027-01,2.6924426555633545,ens_E3_005,8,monthly,1991-2020,2.0671226978302,0.6253199577331543
