source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period,roni_anom,tropical_mean_anom
CFS,CFSv2,dynamical,2026-08-19,2026-09,2.935933828353882,ens_E3_001,1,monthly,1991-2020,2.4528579711914062,0.4830758571624756
CFS,CFSv2,dynamical,2026-08-19,2026-10,3.897235155105591,ens_E3_001,2,monthly,1991-2020,3.2633020877838135,0.6339330673217773
CFS,CFSv2,dynamical,2026-08-19,2026-11,4.0297112464904785,ens_E3_001,3,monthly,1991-2020,3.1674368381500244,0.8622744083404541
CFS,CFSv2,dynamical,2026-08-19,2026-12,3.826058864593506,ens_E3_001,4,monthly,1991-2020,2.92641282081604,0.8996460437774658
CFS,CFSv2,dynamical,2026-08-19,2027-01,3.381572723388672,ens_E3_001,5,monthly,1991-2020,2.475562334060669,0.9060103893280029
CFS,CFSv2,dynamical,2026-08-19,2027-02,2.319382667541504,ens_E3_001,6,monthly,1991-2020,1.2767953872680664,1.0425872802734375
CFS,CFSv2,dynamical,2026-08-19,2027-03,1.4089818000793457,ens_E3_001,7,monthly,1991-2020,0.34830906987190247,1.0606727302074432
CFS,CFSv2,dynamical,2026-08-19,2027-04,1.1054528951644897,ens_E3_001,8,monthly,1991-2020,0.16663749516010284,0.9388154000043869
CFS,CFSv2,dynamical,2026-08-19,2027-05,0.786207377910614,ens_E3_001,9,monthly,1991-2020,-0.1008167564868927,0.8870241343975067
CFS,CFSv2,dynamical,2026-08-19,2026-09,2.8817148208618164,ens_E3_002,1,monthly,1991-2020,2.4165549278259277,0.46515989303588867
CFS,CFSv2,dynamical,2026-08-19,2026-10,3.942598819732666,ens_E3_002,2,monthly,1991-2020,3.481959819793701,0.46063899993896484
CFS,CFSv2,dynamical,2026-08-19,2026-11,3.997532367706299,ens_E3_002,3,monthly,1991-2020,3.531702995300293,0.46582937240600586
CFS,CFSv2,dynamical,2026-08-19,2026-12,3.5078649520874023,ens_E3_002,4,monthly,1991-2020,2.8724846839904785,0.6353802680969238
CFS,CFSv2,dynamical,2026-08-19,2027-01,3.0379951000213623,ens_E3_002,5,monthly,1991-2020,2.2635748386383057,0.7744202613830566
CFS,CFSv2,dynamical,2026-08-19,2027-02,2.3830008506774902,ens_E3_002,6,monthly,1991-2020,1.6613128185272217,0.7216880321502686
CFS,CFSv2,dynamical,2026-08-19,2027-03,1.8894455432891846,ens_E3_002,7,monthly,1991-2020,1.0088363885879517,0.8806091547012329
CFS,CFSv2,dynamical,2026-08-19,2027-04,1.1031239032745361,ens_E3_002,8,monthly,1991-2020,0.21882686018943787,0.8842970430850983
CFS,CFSv2,dynamical,2026-08-19,2027-05,0.09569865465164185,ens_E3_002,9,monthly,1991-2020,-0.713073194026947,0.8087718486785889
CFS,CFSv2,dynamical,2026-08-19,2026-09,2.89693284034729,ens_E3_003,1,monthly,1991-2020,2.4067986011505127,0.49013423919677734
CFS,CFSv2,dynamical,2026-08-19,2026-10,4.115559101104736,ens_E3_003,2,monthly,1991-2020,3.509185791015625,0.6063733100891113
