source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period
CFS,CFSv2,dynamical,2026-02-01,2026-03,0.029892869293689728,ens_E3_001,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-04,0.5600267648696899,ens_E3_001,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-05,0.9879248142242432,ens_E3_001,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-06,1.399499773979187,ens_E3_001,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-07,1.950606107711792,ens_E3_001,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-08,2.3664615154266357,ens_E3_001,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-09,2.3556671142578125,ens_E3_001,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-10,2.5448496341705322,ens_E3_001,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-11,2.4805126190185547,ens_E3_001,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-03,0.0377325676381588,ens_E3_002,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-04,0.4630773365497589,ens_E3_002,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-05,0.9720454812049866,ens_E3_002,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-06,1.4745179414749146,ens_E3_002,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-07,1.786482572555542,ens_E3_002,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-08,2.088818311691284,ens_E3_002,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-09,2.4456241130828857,ens_E3_002,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-10,2.731644868850708,ens_E3_002,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-11,2.6647748947143555,ens_E3_002,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-02-01,2026-03,-0.007268466521054506,ens_E3_003,1,monthly,1991-2020
