source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.326288640499115,ens_E3_001,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.6938510537147522,ens_E3_001,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.2149500846862793,ens_E3_001,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.6748247146606445,ens_E3_001,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,2.024902820587158,ens_E3_001,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,1.9822415113449097,ens_E3_001,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,2.19438099861145,ens_E3_001,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,2.5260391235351562,ens_E3_001,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,2.6991586685180664,ens_E3_001,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.33759716153144836,ens_E3_002,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.9459467530250549,ens_E3_002,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.34397554397583,ens_E3_002,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.5844788551330566,ens_E3_002,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,1.3854472637176514,ens_E3_002,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,1.6232777833938599,ens_E3_002,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,1.9258124828338623,ens_E3_002,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,2.0606114864349365,ens_E3_002,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,2.2629826068878174,ens_E3_002,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.2839660942554474,ens_E3_003,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.6844377517700195,ens_E3_003,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.280336856842041,ens_E3_003,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.3205081224441528,ens_E3_003,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,1.4542033672332764,ens_E3_003,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,1.7431602478027344,ens_E3_003,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,1.6370935440063477,ens_E3_003,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,1.7593849897384644,ens_E3_003,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,1.667908787727356,ens_E3_003,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.37750640511512756,ens_E3_004,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.8857018947601318,ens_E3_004,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.3771476745605469,ens_E3_004,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.7652443647384644,ens_E3_004,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,1.921776294708252,ens_E3_004,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,2.0471720695495605,ens_E3_004,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,2.3238987922668457,ens_E3_004,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,2.690291404724121,ens_E3_004,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,2.1497244834899902,ens_E3_004,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.3562472462654114,ens_E3_005,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.5239317417144775,ens_E3_005,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,1.1139696836471558,ens_E3_005,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.736980676651001,ens_E3_005,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-08,1.9081653356552124,ens_E3_005,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-09,2.270678758621216,ens_E3_005,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-10,2.683015823364258,ens_E3_005,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-11,2.7002344131469727,ens_E3_005,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-12,2.3730099201202393,ens_E3_005,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-04,0.3025848865509033,ens_E3_006,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-05,0.6373186707496643,ens_E3_006,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-06,0.9608153700828552,ens_E3_006,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-03-01,2026-07,1.3543845415115356,ens_E3_006,4,monthly,1991-2020
