source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period,roni_anom,tropical_mean_anom
CFS,CFSv2,dynamical,2026-06-13,2026-07,2.1203036308288574,ens_E3_001,1,monthly,1991-2020,1.619484305381775,0.5008193254470825
CFS,CFSv2,dynamical,2026-06-13,2026-08,2.6995065212249756,ens_E3_001,2,monthly,1991-2020,2.1419589519500732,0.5575475692749023
CFS,CFSv2,dynamical,2026-06-13,2026-09,3.1959481239318848,ens_E3_001,3,monthly,1991-2020,2.536799907684326,0.6591482162475586
CFS,CFSv2,dynamical,2026-06-13,2026-10,3.5084052085876465,ens_E3_001,4,monthly,1991-2020,2.830695152282715,0.6777100563049316
CFS,CFSv2,dynamical,2026-06-13,2026-11,3.9590370655059814,ens_E3_001,5,monthly,1991-2020,3.255434036254883,0.7036030292510986
CFS,CFSv2,dynamical,2026-06-13,2026-12,3.524718761444092,ens_E3_001,6,monthly,1991-2020,2.863494396209717,0.661224365234375
CFS,CFSv2,dynamical,2026-06-13,2027-01,2.5942039489746094,ens_E3_001,7,monthly,1991-2020,1.787575364112854,0.8066285848617554
CFS,CFSv2,dynamical,2026-06-13,2027-02,2.21447491645813,ens_E3_001,8,monthly,1991-2020,1.3338918685913086,0.8805830478668213
CFS,CFSv2,dynamical,2026-06-13,2027-03,1.6502958536148071,ens_E3_001,9,monthly,1991-2020,0.8019888997077942,0.8483069539070129
CFS,CFSv2,dynamical,2026-06-13,2026-07,2.097961664199829,ens_E3_002,1,monthly,1991-2020,1.6278923749923706,0.4700692892074585
CFS,CFSv2,dynamical,2026-06-13,2026-08,2.672191619873047,ens_E3_002,2,monthly,1991-2020,2.1242175102233887,0.5479741096496582
CFS,CFSv2,dynamical,2026-06-13,2026-09,3.0343589782714844,ens_E3_002,3,monthly,1991-2020,2.4433188438415527,0.5910401344299316
CFS,CFSv2,dynamical,2026-06-13,2026-10,3.094879627227783,ens_E3_002,4,monthly,1991-2020,2.4448909759521484,0.6499886512756348
CFS,CFSv2,dynamical,2026-06-13,2026-11,3.629699468612671,ens_E3_002,5,monthly,1991-2020,2.960146188735962,0.669553279876709
CFS,CFSv2,dynamical,2026-06-13,2026-12,3.440328359603882,ens_E3_002,6,monthly,1991-2020,2.7300071716308594,0.7103211879730225
