source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.521136522293091,ens_E3_006,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,3.2191169261932373,ens_E3_006,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.9146530628204346,ens_E3_006,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.8795738220214844,ens_E3_006,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.4226338863372803,ens_E3_006,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.8791349530220032,ens_E3_007,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.305951714515686,ens_E3_007,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.334425687789917,ens_E3_007,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.3435382843017578,ens_E3_007,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,1.3703222274780273,ens_E3_007,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,1.8081858158111572,ens_E3_007,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,1.5124893188476562,ens_E3_007,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,1.6112271547317505,ens_E3_007,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,1.2670010328292847,ens_E3_007,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.9144405126571655,ens_E3_008,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.261374831199646,ens_E3_008,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.9117672443389893,ens_E3_008,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.257350444793701,ens_E3_008,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.8368000984191895,ens_E3_008,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,3.1102330684661865,ens_E3_008,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,3.5499813556671143,ens_E3_008,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,3.2430953979492188,ens_E3_008,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.5025999546051025,ens_E3_008,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.8772004842758179,ens_E3_009,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.3656145334243774,ens_E3_009,2,monthly,1991-2020
