source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.8670483827590942,ens_E3_001,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.3998395204544067,ens_E3_001,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.8336108922958374,ens_E3_001,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.2142281532287598,ens_E3_001,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.031100273132324,ens_E3_001,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.386453151702881,ens_E3_001,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.584364414215088,ens_E3_001,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.531841993331909,ens_E3_001,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.328228712081909,ens_E3_001,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.6273431777954102,ens_E3_002,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.1944020986557007,ens_E3_002,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.5513176918029785,ens_E3_002,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.600454330444336,ens_E3_002,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,1.8072755336761475,ens_E3_002,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,1.9652373790740967,ens_E3_002,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.673522710800171,ens_E3_002,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.2859838008880615,ens_E3_002,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.0961079597473145,ens_E3_002,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.6474629640579224,ens_E3_003,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.2441679239273071,ens_E3_003,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.893005132675171,ens_E3_003,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,2.129669666290283,ens_E3_003,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,2.44994854927063,ens_E3_003,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.894023895263672,ens_E3_003,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,3.3240506649017334,ens_E3_003,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.6779086589813232,ens_E3_003,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,1.8973735570907593,ens_E3_003,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.7207627892494202,ens_E3_004,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.009998083114624,ens_E3_004,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.352444052696228,ens_E3_004,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.7260844707489014,ens_E3_004,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,1.8367481231689453,ens_E3_004,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.287447690963745,ens_E3_004,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.300999879837036,ens_E3_004,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,1.938165545463562,ens_E3_004,8,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2027-01,2.084568977355957,ens_E3_004,9,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-05,0.7735452055931091,ens_E3_005,1,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-06,1.1099512577056885,ens_E3_005,2,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-07,1.541907548904419,ens_E3_005,3,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-08,1.4293426275253296,ens_E3_005,4,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-09,1.6768633127212524,ens_E3_005,5,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-10,2.2669310569763184,ens_E3_005,6,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-11,2.3802168369293213,ens_E3_005,7,monthly,1991-2020
CFS,CFSv2,dynamical,2026-04-01,2026-12,2.245868444442749,ens_E3_005,8,monthly,1991-2020
