source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period,roni_anom,tropical_mean_anom
CFS,CFSv2,dynamical,2026-06-06,2026-06,1.3083456754684448,ens_E3_001,0,monthly,1991-2020,0.9183587431907654,0.38998693227767944
CFS,CFSv2,dynamical,2026-06-06,2026-07,2.1152687072753906,ens_E3_001,1,monthly,1991-2020,1.649512529373169,0.4657561779022217
CFS,CFSv2,dynamical,2026-06-06,2026-08,2.7916600704193115,ens_E3_001,2,monthly,1991-2020,2.2272837162017822,0.5643763542175293
CFS,CFSv2,dynamical,2026-06-06,2026-09,2.9176807403564453,ens_E3_001,3,monthly,1991-2020,2.3597593307495117,0.5579214096069336
CFS,CFSv2,dynamical,2026-06-06,2026-10,3.4666388034820557,ens_E3_001,4,monthly,1991-2020,2.882094383239746,0.5845444202423096
CFS,CFSv2,dynamical,2026-06-06,2026-11,3.8992836475372314,ens_E3_001,5,monthly,1991-2020,3.2483835220336914,0.65090012550354
CFS,CFSv2,dynamical,2026-06-06,2026-12,3.29042911529541,ens_E3_001,6,monthly,1991-2020,2.591434955596924,0.6989941596984863
CFS,CFSv2,dynamical,2026-06-06,2027-01,2.6324031352996826,ens_E3_001,7,monthly,1991-2020,1.8946202993392944,0.7377828359603882
CFS,CFSv2,dynamical,2026-06-06,2027-02,2.18914794921875,ens_E3_001,8,monthly,1991-2020,1.2964357137680054,0.8927122354507446
CFS,CFSv2,dynamical,2026-06-06,2026-06,1.325365424156189,ens_E3_002,0,monthly,1991-2020,0.8955703973770142,0.4297950267791748
CFS,CFSv2,dynamical,2026-06-06,2026-07,1.9073303937911987,ens_E3_002,1,monthly,1991-2020,1.4115265607833862,0.4958038330078125
CFS,CFSv2,dynamical,2026-06-06,2026-08,2.9495773315429688,ens_E3_002,2,monthly,1991-2020,2.4209864139556885,0.5285909175872803
CFS,CFSv2,dynamical,2026-06-06,2026-09,3.265913486480713,ens_E3_002,3,monthly,1991-2020,2.591383934020996,0.6745295524597168
CFS,CFSv2,dynamical,2026-06-06,2026-10,3.7590861320495605,ens_E3_002,4,monthly,1991-2020,2.9235498905181885,0.8355362415313721
CFS,CFSv2,dynamical,2026-06-06,2026-11,4.15260648727417,ens_E3_002,5,monthly,1991-2020,3.2732510566711426,0.8793554306030273
CFS,CFSv2,dynamical,2026-06-06,2026-12,3.7887048721313477,ens_E3_002,6,monthly,1991-2020,2.863784074783325,0.9249207973480225
CFS,CFSv2,dynamical,2026-06-06,2027-01,3.1231470108032227,ens_E3_002,7,monthly,1991-2020,2.1813228130340576,0.941824197769165
CFS,CFSv2,dynamical,2026-06-06,2027-02,2.3494179248809814,ens_E3_002,8,monthly,1991-2020,1.3899829387664795,0.959434986114502
CFS,CFSv2,dynamical,2026-06-06,2026-06,1.2946158647537231,ens_E3_003,0,monthly,1991-2020,0.8771268725395203,0.4174889922142029
CFS,CFSv2,dynamical,2026-06-06,2026-07,1.6013236045837402,ens_E3_003,1,monthly,1991-2020,1.1945216655731201,0.4068019390106201
CFS,CFSv2,dynamical,2026-06-06,2026-08,2.3461029529571533,ens_E3_003,2,monthly,1991-2020,1.8612059354782104,0.48489701747894287
CFS,CFSv2,dynamical,2026-06-06,2026-09,2.681673049926758,ens_E3_003,3,monthly,1991-2020,2.112003803253174,0.569669246673584
CFS,CFSv2,dynamical,2026-06-06,2026-10,2.797805070877075,ens_E3_003,4,monthly,1991-2020,2.1410419940948486,0.6567630767822266
CFS,CFSv2,dynamical,2026-06-06,2026-11,3.137012004852295,ens_E3_003,5,monthly,1991-2020,2.396050453186035,0.7409615516662598
CFS,CFSv2,dynamical,2026-06-06,2026-12,2.9298133850097656,ens_E3_003,6,monthly,1991-2020,2.1672706604003906,0.762542724609375
CFS,CFSv2,dynamical,2026-06-06,2027-01,2.7094337940216064,ens_E3_003,7,monthly,1991-2020,1.9181231260299683,0.7913106679916382
