source,model,model_type,init_date,target_month,lead_months,nino34_anom,member_id,temporal_resolution,anomaly_base_period
IRI,AUS-ACCESS,dynamical,2026-02-01,2026-03,1,0.37,mean,seasonal_3mo,varies
IRI,AUS-ACCESS,dynamical,2026-02-01,2026-04,2,0.8,mean,seasonal_3mo,varies
IRI,AUS-ACCESS,dynamical,2026-02-01,2026-05,3,1.13,mean,seasonal_3mo,varies
IRI,AUS-ACCESS,dynamical,2026-02-01,2026-06,4,1.43,mean,seasonal_3mo,varies
IRI,AUS-RELATIVE,dynamical,2026-02-01,2026-03,1,-0.07,mean,seasonal_3mo,varies
IRI,AUS-RELATIVE,dynamical,2026-02-01,2026-04,2,0.4,mean,seasonal_3mo,varies
IRI,AUS-RELATIVE,dynamical,2026-02-01,2026-05,3,0.73,mean,seasonal_3mo,varies
IRI,AUS-RELATIVE,dynamical,2026-02-01,2026-06,4,1.03,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-02-01,2026-03,1,0.17,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-02-01,2026-04,2,0.55,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-02-01,2026-05,3,0.84,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-02-01,2026-06,4,1.03,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-02-01,2026-07,5,1.09,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-02-01,2026-08,6,1.03,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-02-01,2026-09,7,0.96,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-02-01,2026-10,8,0.96,mean,seasonal_3mo,varies
IRI,CMC CANSIP,dynamical,2026-02-01,2026-11,9,1.02,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-02-01,2026-03,1,-0.01,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-02-01,2026-04,2,0.25,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-02-01,2026-05,3,0.55,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-02-01,2026-06,4,0.85,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-02-01,2026-07,5,1.11,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-02-01,2026-08,6,1.29,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-02-01,2026-09,7,1.4,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-02-01,2026-10,8,1.48,mean,seasonal_3mo,varies
IRI,COLA CCSM4,dynamical,2026-02-01,2026-11,9,1.56,mean,seasonal_3mo,varies
IRI,CS-IRI-MM,dynamical,2026-02-01,2026-03,1,-0.19,mean,seasonal_3mo,varies
IRI,CS-IRI-MM,dynamical,2026-02-01,2026-04,2,0.07,mean,seasonal_3mo,varies
IRI,CS-IRI-MM,dynamical,2026-02-01,2026-05,3,0.37,mean,seasonal_3mo,varies
IRI,CS-IRI-MM,dynamical,2026-02-01,2026-06,4,0.62,mean,seasonal_3mo,varies
IRI,CS-IRI-MM,dynamical,2026-02-01,2026-07,5,0.88,mean,seasonal_3mo,varies
IRI,CS-IRI-MM,dynamical,2026-02-01,2026-08,6,1.09,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-02-01,2026-03,1,-0.41,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-02-01,2026-04,2,-0.31,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-02-01,2026-05,3,-0.14,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-02-01,2026-06,4,-0.02,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-02-01,2026-07,5,0.07,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-02-01,2026-08,6,0.13,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-02-01,2026-09,7,0.15,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-02-01,2026-10,8,0.15,mean,seasonal_3mo,varies
IRI,IOCAS ICM,dynamical,2026-02-01,2026-11,9,0.15,mean,seasonal_3mo,varies
IRI,JMA,dynamical,2026-02-01,2026-03,1,0.03,mean,seasonal_3mo,varies
IRI,JMA,dynamical,2026-02-01,2026-04,2,0.26,mean,seasonal_3mo,varies
IRI,JMA,dynamical,2026-02-01,2026-05,3,0.48,mean,seasonal_3mo,varies
IRI,JMA,dynamical,2026-02-01,2026-06,4,0.75,mean,seasonal_3mo,varies
IRI,JMA,dynamical,2026-02-01,2026-07,5,1.09,mean,seasonal_3mo,varies
IRI,KMA,dynamical,2026-02-01,2026-03,1,0.37,mean,seasonal_3mo,varies
IRI,KMA,dynamical,2026-02-01,2026-04,2,0.73,mean,seasonal_3mo,varies
IRI,KMA,dynamical,2026-02-01,2026-05,3,1.05,mean,seasonal_3mo,varies
IRI,KMA,dynamical,2026-02-01,2026-06,4,1.35,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-02-01,2026-03,1,-0.29,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-02-01,2026-04,2,-0.17,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-02-01,2026-05,3,-0.06,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-02-01,2026-06,4,0.01,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-02-01,2026-07,5,0.04,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-02-01,2026-08,6,0.04,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-02-01,2026-09,7,0.07,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-02-01,2026-10,8,0.13,mean,seasonal_3mo,varies
IRI,LDEO,dynamical,2026-02-01,2026-11,9,0.19,mean,seasonal_3mo,varies
IRI,MetFRANCE,dynamical,2026-02-01,2026-03,1,-0.29,mean,seasonal_3mo,varies
IRI,MetFRANCE,dynamical,2026-02-01,2026-04,2,-0.02,mean,seasonal_3mo,varies
IRI,MetFRANCE,dynamical,2026-02-01,2026-05,3,0.26,mean,seasonal_3mo,varies
IRI,MetFRANCE,dynamical,2026-02-01,2026-06,4,0.49,mean,seasonal_3mo,varies
IRI,MetFRANCE,dynamical,2026-02-01,2026-07,5,0.69,mean,seasonal_3mo,varies
IRI,NASA GMAO,dynamical,2026-02-01,2026-03,1,-0.06,mean,seasonal_3mo,varies
IRI,NASA GMAO,dynamical,2026-02-01,2026-04,2,0.18,mean,seasonal_3mo,varies
IRI,NASA GMAO,dynamical,2026-02-01,2026-05,3,0.46,mean,seasonal_3mo,varies
IRI,NASA GMAO,dynamical,2026-02-01,2026-06,4,0.78,mean,seasonal_3mo,varies
IRI,NASA GMAO,dynamical,2026-02-01,2026-07,5,1.02,mean,seasonal_3mo,varies
IRI,NASA GMAO,dynamical,2026-02-01,2026-08,6,1.15,mean,seasonal_3mo,varies
IRI,NASA GMAO,dynamical,2026-02-01,2026-09,7,1.25,mean,seasonal_3mo,varies
IRI,NCEP CFSv2,dynamical,2026-02-01,2026-03,1,0.1,mean,seasonal_3mo,varies
IRI,NCEP CFSv2,dynamical,2026-02-01,2026-04,2,0.45,mean,seasonal_3mo,varies
IRI,NCEP CFSv2,dynamical,2026-02-01,2026-05,3,0.69,mean,seasonal_3mo,varies
IRI,NCEP CFSv2,dynamical,2026-02-01,2026-06,4,0.91,mean,seasonal_3mo,varies
IRI,NCEP CFSv2,dynamical,2026-02-01,2026-07,5,1.09,mean,seasonal_3mo,varies
IRI,NCEP CFSv2,dynamical,2026-02-01,2026-08,6,1.26,mean,seasonal_3mo,varies
IRI,NCEP CFSv2,dynamical,2026-02-01,2026-09,7,1.42,mean,seasonal_3mo,varies
IRI,SINTEX-F,dynamical,2026-02-01,2026-03,1,-0.07,mean,seasonal_3mo,varies
IRI,SINTEX-F,dynamical,2026-02-01,2026-04,2,0.22,mean,seasonal_3mo,varies
IRI,SINTEX-F,dynamical,2026-02-01,2026-05,3,0.48,mean,seasonal_3mo,varies
IRI,SINTEX-F,dynamical,2026-02-01,2026-06,4,0.74,mean,seasonal_3mo,varies
IRI,SINTEX-F,dynamical,2026-02-01,2026-07,5,0.94,mean,seasonal_3mo,varies
IRI,SINTEX-F,dynamical,2026-02-01,2026-08,6,1.06,mean,seasonal_3mo,varies
IRI,SINTEX-F,dynamical,2026-02-01,2026-09,7,1.11,mean,seasonal_3mo,varies
IRI,SINTEX-F,dynamical,2026-02-01,2026-10,8,1.16,mean,seasonal_3mo,varies
IRI,SINTEX-F,dynamical,2026-02-01,2026-11,9,1.21,mean,seasonal_3mo,varies
IRI,UKMO,dynamical,2026-02-01,2026-03,1,0.08,mean,seasonal_3mo,varies
IRI,UKMO,dynamical,2026-02-01,2026-04,2,0.4,mean,seasonal_3mo,varies
IRI,UKMO,dynamical,2026-02-01,2026-05,3,0.71,mean,seasonal_3mo,varies
IRI,UKMO,dynamical,2026-02-01,2026-06,4,0.98,mean,seasonal_3mo,varies
IRI,BCC_RZDM,statistical,2026-02-01,2026-03,1,-0.24,mean,seasonal_3mo,varies
IRI,BCC_RZDM,statistical,2026-02-01,2026-04,2,-0.1,mean,seasonal_3mo,varies
IRI,BCC_RZDM,statistical,2026-02-01,2026-05,3,0.05,mean,seasonal_3mo,varies
