date,soi,wind_wpac,wind_cpac,wind_epac
1969-05-01,-0.20,,,
1969-06-01,0.20,,,
1969-07-01,-0.50,,,
1969-08-01,-0.10,,,
1969-09-01,-1.00,,,
1969-10-01,-0.90,,,
1969-11-01,-0.10,,,
1969-12-01,0.40,,,
1970-01-01,-1.10,,,
1970-02-01,-1.00,,,
1970-03-01,0.60,,,
1970-04-01,-0.10,,,
1970-05-01,0.40,,,
1970-06-01,1.00,,,
1970-07-01,-0.40,,,
1970-08-01,0.60,,,
1970-09-01,1.20,,,
1970-10-01,1.00,,,
1970-11-01,1.60,,,
1970-12-01,1.90,,,
1971-01-01,0.40,,,
1971-02-01,2.00,,,
1971-03-01,2.30,,,
1971-04-01,1.70,,,
1971-05-01,0.90,,,
1971-06-01,0.40,,,
1971-07-01,0.20,,,
1971-08-01,1.50,,,
1971-09-01,1.40,,,
1971-10-01,1.70,,,
1971-11-01,0.50,,,
1971-12-01,0.30,,,
1972-01-01,0.50,,,
1972-02-01,1.10,,,
1972-03-01,0.60,,,
1972-04-01,-0.10,,,
1972-05-01,-1.60,,,
1972-06-01,-0.50,,,
1972-07-01,-1.40,,,
1972-08-01,-0.50,,,
1972-09-01,-1.40,,,
1972-10-01,-0.90,,,
1972-11-01,-0.30,,,
1972-12-01,-1.30,,,
1973-01-01,-0.30,,,
1973-02-01,-1.40,,,
1973-03-01,0.70,,,
1973-04-01,0.10,,,
1973-05-01,0.40,,,
1973-06-01,1.10,,,
1973-07-01,0.60,,,
1973-08-01,1.30,,,
1973-09-01,1.20,,,
1973-10-01,0.80,,,
1973-11-01,2.60,,,
1973-12-01,1.80,,,
1974-01-01,2.40,,,
1974-02-01,2.10,,,
1974-03-01,2.40,,,
1974-04-01,0.90,,,
1974-05-01,1.00,,,
1974-06-01,0.40,,,
1974-07-01,1.10,,,
1974-08-01,0.80,,,
1974-09-01,1.10,,,
1974-10-01,0.90,,,
1974-11-01,-0.10,,,
1974-12-01,0.20,,,
1975-01-01,-0.50,,,
1975-02-01,0.80,,,
1975-03-01,1.60,,,
