source,model,model_type,init_date,target_month,lead_months,nino34_anom,tropical_mean_anom,roni_anom,member_id,temporal_resolution,anomaly_base_period
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,3.868,0.9273,2.9408,N2K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.406,0.8897,1.5163,N2K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,3.4241,1.0667,2.3574,N3K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.5507,0.9542,1.5965,N3K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.7006,0.8282,1.8724,N1K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.3509,0.6767,1.6743,N1K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,3.1347,0.953,2.1817,N2K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.4341,0.7857,1.6484,N2K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.6928,0.6966,1.9963,N3K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.4565,0.6905,1.766,N3K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.5286,1.0561,1.4725,N1K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.7168,0.9367,1.7801,N1K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.8924,1.0142,1.8781,N2K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.2362,0.8001,1.4361,N2K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.1276,0.8545,1.2731,N3K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.396,0.8458,1.5502,N3K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.4344,0.8727,1.5617,N1K1V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.2458,0.7879,1.4579,N1K2V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,1.7509,0.7862,0.9647,N2K1V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.0878,0.7712,1.3166,N2K2V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.5346,0.72,1.8147,N3K1V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-10,3,2.0013,0.743,1.2583,N3K2V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,4.2152,0.9422,3.2731,N1K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.598,0.9698,1.6282,N1K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,4.4773,0.9273,3.55,N2K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.626,0.8897,1.7363,N2K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,3.5881,1.0667,2.5214,N3K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.612,0.9542,1.6578,N3K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.7963,0.8282,1.9681,N1K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.2498,0.6767,1.5731,N1K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,3.3751,0.953,2.4221,N2K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.4907,0.7857,1.7049,N2K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.9198,0.6966,2.2232,N3K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.4598,0.6905,1.7693,N3K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.7057,1.0561,1.6496,N1K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.8824,0.9367,1.9456,N1K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,3.0921,1.0142,2.0779,N2K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.1971,0.8001,1.397,N2K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.341,0.8545,1.4865,N3K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.5262,0.8458,1.6804,N3K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.4315,0.8727,1.5588,N1K1V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.3671,0.7879,1.5792,N1K2V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,1.9513,0.7862,1.1651,N2K1V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.1046,0.7712,1.3334,N2K2V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.5974,0.72,1.8775,N3K1V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-11,4,2.1377,0.743,1.3947,N3K2V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,4.5061,1.1149,3.3912,N1K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.7171,1.0924,1.6247,N1K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,4.8612,1.1577,3.7035,N2K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.7363,1.1373,1.599,N2K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,3.6857,1.1459,2.5398,N3K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.659,1.0268,1.6322,N3K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.7833,0.887,1.8963,N1K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.2331,0.6997,1.5334,N1K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,3.5145,1.0876,2.4269,N2K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.5086,0.8393,1.6693,N2K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.9229,0.82,2.1029,N3K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.8339,0.7556,2.0783,N3K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.7265,1.1146,1.6119,N1K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.8477,1.0594,1.7883,N1K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,3.0104,1.0624,1.9479,N2K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.1452,0.7376,1.4076,N2K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.5215,0.9943,1.5272,N3K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.501,0.8334,1.6675,N3K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.3895,0.8251,1.5644,N1K1V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.2643,0.8472,1.4171,N1K2V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,1.8512,0.7923,1.0588,N2K1V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.289,0.8789,1.41,N2K2V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.7756,0.8251,1.9505,N3K1V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2026-12,5,2.0375,0.6925,1.345,N3K2V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,4.3676,1.1149,3.2526,N1K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.7316,1.0924,1.6392,N1K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,4.5679,1.1577,3.4101,N2K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.7558,1.1373,1.6185,N2K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,3.5007,1.1459,2.3548,N3K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.381,1.0268,1.3542,N3K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.6388,0.887,1.7518,N1K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.026,0.6997,1.3263,N1K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,3.5004,1.0876,2.4128,N2K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.3581,0.8393,1.5188,N2K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.828,0.82,2.008,N3K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.8676,0.7556,2.112,N3K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.5287,1.1146,1.4141,N1K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.5923,1.0594,1.5329,N1K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.7887,1.0624,1.7263,N2K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,1.956,0.7376,1.2185,N2K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.3288,0.9943,1.3345,N3K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.1881,0.8334,1.3547,N3K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.1256,0.8251,1.3005,N1K1V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.0118,0.8472,1.1646,N1K2V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,1.6429,0.7923,0.8506,N2K1V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.2869,0.8789,1.408,N2K2V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,2.6747,0.8251,1.8496,N3K1V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-01,6,1.797,0.6925,1.1045,N3K2V,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,3.7018,1.1149,2.5869,N1K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,2.6065,1.0924,1.5141,N1K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,4.333,1.1577,3.1752,N2K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,2.5594,1.1373,1.4221,N2K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,3.0387,1.1459,1.8928,N3K1hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,2.3796,1.0268,1.3528,N3K2hi,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,2.2645,0.887,1.3775,N1K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,1.6701,0.6997,0.9704,N1K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,3.0008,1.0876,1.9132,N2K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,2.1318,0.8393,1.2925,N2K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,2.8614,0.82,2.0414,N3K1,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,2.5251,0.7556,1.7695,N3K2,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,2.2274,1.1146,1.1128,N1K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,1.8763,1.0594,0.8169,N1K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,2.0854,1.0624,1.0229,N2K1hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,1.4941,0.7376,0.7565,N2K2hiV,monthly,1983-2015
SINTEX-F,SINTEX-F,dynamical,2026-07-01,2027-02,7,2.2657,0.9943,1.2714,N3K1hiV,monthly,1983-2015
