date,t2m_mean,t2m_p5,t2m_p25,t2m_p50,t2m_p75,t2m_p95,init_date,n_members
2026-08-02,16.800755587272025,16.736528073713757,16.77137799815193,16.798465149654504,16.824692058407987,16.86768603569062,2026-08-02,50
2026-08-03,16.71828275355273,16.64096083921727,16.688980833637892,16.712480176925986,16.745284450053013,16.799437212313258,2026-08-02,50
2026-08-04,16.735859145524458,16.666881140938067,16.700745503686484,16.73144939451678,16.773953712320473,16.808976098349397,2026-08-02,50
2026-08-05,16.761134242214336,16.65766270774378,16.720162233477886,16.767500596345695,16.80346925906175,16.843727349575644,2026-08-02,50
2026-08-06,16.848781510256,16.765944433202453,16.800963585359483,16.844024461614122,16.886750406353958,16.949455124076355,2026-08-02,50
2026-08-07,16.87954831767213,16.774091277476714,16.837438850388118,16.879778664810857,16.91671728000877,17.001217208667825,2026-08-02,50
2026-08-08,16.868899900837587,16.725455137416812,16.825860706234067,16.86242088182073,16.939084383555617,16.99348561706895,2026-08-02,50
2026-08-09,16.839044031964,16.720594153763937,16.77118832513761,16.821809487649638,16.89612676812928,16.98163183536779,2026-08-02,50
2026-08-10,16.80156281897602,16.624973308321334,16.730667122292168,16.793644314377765,16.877723432627857,16.978846730245973,2026-08-02,50
2026-08-11,16.781227006859748,16.617476163308055,16.70247381030302,16.77487519261627,16.85571219653982,16.975881556416486,2026-08-02,50
2026-08-12,16.764615112360715,16.579203471369826,16.684028415634586,16.75458670092235,16.843348578726676,16.98469600126915,2026-08-02,50
2026-08-13,16.755354405923505,16.58332564814613,16.67775065010621,16.753594042271637,16.813293862843025,16.94549054344538,2026-08-02,50
2026-08-14,16.74593409113548,16.53971917702783,16.67325020834891,16.746398664431535,16.820624535756664,16.929740195474604,2026-08-02,50
2026-08-15,16.738183062627897,16.52991306418584,16.674119291251262,16.735197978597967,16.802673164911916,16.934144021584572,2026-08-02,50
2026-08-16,16.72672292629169,16.498554049529105,16.64904251068089,16.734360946124227,16.80272504381219,16.908518495692633,2026-08-02,50
2026-08-17,16.726078373237048,16.49945995949098,16.655298711567376,16.724947707469468,16.794691345497174,16.971206403533245,2026-08-02,50
2026-08-18,16.709944956326876,16.473871903640244,16.61121196043915,16.734993438916145,16.807509812421344,16.934564288702525,2026-08-02,50
2026-08-19,16.69885732803993,16.47366511401369,16.60369448108065,16.69886029426558,16.82112644838062,16.920582161879803,2026-08-02,50
2026-08-20,16.67649389145118,16.445313988091,16.611069611356765,16.69381259867896,16.751610367172596,16.904960241475212,2026-08-02,50
2026-08-21,16.651970935790974,16.4562961584336,16.587899239520265,16.655041506557296,16.714572537657972,16.88497038917076,2026-08-02,50
2026-08-22,16.630373400055245,16.42812500227614,16.558500229906187,16.639615377803832,16.71167658561064,16.81557061586328,2026-08-02,50
2026-08-23,16.616918757520466,16.421741222029127,16.517626430522366,16.617696971032288,16.72199264740876,16.825743459309063,2026-08-02,50
2026-08-24,16.604087593462392,16.402221420016375,16.50929070301697,16.591877955044772,16.700447032270198,16.80795108837821,2026-08-02,50
2026-08-25,16.597302371014784,16.380658583254093,16.52322141333833,16.59791001536015,16.676196213309147,16.79379287016798,2026-08-02,50
2026-08-26,16.573264418173256,16.36989300504672,16.457075690659668,16.579454815714335,16.672080872431437,16.785414960922097,2026-08-02,50
2026-08-27,16.553718811975997,16.34720262261717,16.47670868120961,16.55372413616152,16.642840076311664,16.761233459147476,2026-08-02,50
2026-08-28,16.55348305874799,16.304559600091185,16.505454113483207,16.551829554335857,16.64090263020217,16.770950815391267,2026-08-02,50
2026-08-29,16.536779513367087,16.31367991192844,16.45296429211502,16.53400828928787,16.625082795542166,16.71047038046243,2026-08-02,50
2026-08-30,16.509809990611355,16.3271287093545,16.423994661439586,16.50787708171897,16.598136077029725,16.70339096371233,2026-08-02,50
2026-08-31,16.497777741870305,16.32502087651012,16.425780502428253,16.490330114016004,16.578030478367577,16.65419579906793,2026-08-02,50
2026-09-01,16.471251945007346,16.3417926862065,16.402472229248637,16.4315148671649,16.54648627340268,16.63003180810633,2026-08-02,50
2026-09-02,16.45170968290919,16.318413312390476,16.378733692063093,16.441751518270692,16.501730990071493,16.65178524326458,2026-08-02,50
2026-09-03,16.42511494391256,16.26814976751104,16.33702973942875,16.424234989355494,16.489872116369952,16.66130859898821,2026-08-02,50
2026-09-04,16.406740349595424,16.229139663765096,16.33263747450726,16.42228912247078,16.45605347351499,16.563021910817795,2026-08-02,50
2026-09-05,16.377047211532332,16.161688808249703,16.283260834892406,16.397003846239038,16.460813515921906,16.550647728758168,2026-08-02,50
2026-09-06,16.352243004533182,16.132753686882403,16.281859228648166,16.35065328967802,16.429494289674363,16.56559851816408,2026-08-02,50
2026-09-07,16.347594224406716,16.131591487263822,16.260379806112105,16.356638887667373,16.416016833994284,16.58928793224616,2026-08-02,50
2026-09-08,16.31996620113561,16.09863446510486,16.232973793816136,16.314256772273115,16.37959769409634,16.648795141408232,2026-08-02,50
2026-09-09,16.291788635599236,16.078926071004414,16.197562640969128,16.294938340436648,16.352078725180135,16.59281738767497,2026-08-02,50
2026-09-10,16.280852160136657,16.073213361777313,16.20871352248629,16.265561749754138,16.357941932038855,16.503219573886188,2026-08-02,50
2026-09-11,16.27183921614078,16.081458977199105,16.175305591146532,16.252575919904405,16.316249374821222,16.49772718321936,2026-08-02,50
2026-09-12,16.27165758059947,16.074710549104847,16.213336424346544,16.25043114139155,16.320736637072386,16.502583100563957,2026-08-02,50
2026-09-13,16.248525418445794,16.05582944948376,16.16704037076037,16.24138300768616,16.32423128851529,16.457931310088654,2026-08-02,50
2026-09-14,16.213134287265447,16.02968804748331,16.11624705283722,16.222297590927738,16.31417738755924,16.42456377449944,2026-08-02,50
2026-09-15,16.203654492595273,16.039002395816397,16.110655288035787,16.194181310431823,16.287770005901795,16.427770469419322,2026-08-02,50
