date,t2m_mean,t2m_p5,t2m_p25,t2m_p50,t2m_p75,t2m_p95,init_date,n_members
2026-08-01,16.776068686029067,16.709241033643693,16.734622844695835,16.78185729639928,16.817346216951286,16.839947372372666,2026-08-01,50
2026-08-02,16.761654627545273,16.683510289863644,16.731005743915688,16.757493653582564,16.803507256613415,16.833747529767404,2026-08-01,50
2026-08-03,16.701570246775738,16.618590602422618,16.64890659981736,16.708409334484827,16.740288889173286,16.77961152171157,2026-08-01,50
2026-08-04,16.75094537914029,16.66423991376743,16.71862572522722,16.74787975492719,16.783904925394403,16.83067736220389,2026-08-01,50
2026-08-05,16.79307630802998,16.672316546045565,16.753819447907006,16.793168787531755,16.84108122850009,16.87733035324268,2026-08-01,50
2026-08-06,16.863281613879476,16.72521042039157,16.82087923642486,16.87378744705255,16.917047377212725,16.963624868430518,2026-08-01,50
2026-08-07,16.859378249453485,16.717529178454797,16.818124935708017,16.8701381338159,16.915472905150317,16.970114379869166,2026-08-01,50
2026-08-08,16.8574311754528,16.71509087875357,16.807890980903863,16.859695894442964,16.912316269446045,16.96740528799943,2026-08-01,50
2026-08-09,16.83689690411301,16.664772845723768,16.76964378368293,16.837168071814457,16.898800200260144,16.997092801226444,2026-08-01,50
2026-08-10,16.806439314882887,16.63569793855541,16.75316802514109,16.788846074514673,16.868027238151207,16.97911350493486,2026-08-01,50
2026-08-11,16.79004801559609,16.64170762000957,16.71470098437731,16.76733372741988,16.83979741186534,17.041335979319097,2026-08-01,50
2026-08-12,16.778110279632127,16.59617989167891,16.699216168185952,16.752795531772314,16.83735911648356,17.015229707590724,2026-08-01,50
2026-08-13,16.775888434418825,16.588817534419153,16.69701176164384,16.753529250461874,16.83013879315711,17.025851955681443,2026-08-01,50
2026-08-14,16.76748287659219,16.56570466718577,16.66385919224879,16.772969952254172,16.84912619345678,16.976237120284598,2026-08-01,50
2026-08-15,16.759188423561188,16.533958836675954,16.682727925538305,16.752506949812975,16.873184640057616,16.94985380083903,2026-08-01,50
2026-08-16,16.740718440757504,16.508950678803377,16.66622208058912,16.74732914693069,16.832703839780105,16.962123892428476,2026-08-01,50
2026-08-17,16.742135774551134,16.524244307685898,16.655178870663683,16.753493973258003,16.83827175134765,16.928746366714982,2026-08-01,50
2026-08-18,16.745554378758033,16.519478889505518,16.651596256503446,16.77965043835456,16.85278730952034,16.916953524004686,2026-08-01,50
2026-08-19,16.74003805739561,16.53143434770526,16.651425164532707,16.74610064510139,16.835404928372476,16.94666738971291,2026-08-01,50
2026-08-20,16.713039750706017,16.52140675748406,16.61165078827974,16.719130991244512,16.822601575741903,16.89560600744078,2026-08-01,50
2026-08-21,16.689457991126915,16.440951842661992,16.575828047241345,16.716572117934334,16.800003432839638,16.865887535306197,2026-08-01,50
2026-08-22,16.661284358590997,16.416211779873382,16.565020764167002,16.698227785613412,16.76116579318711,16.83443579191644,2026-08-01,50
2026-08-23,16.63779362887066,16.4111139056619,16.541507640079164,16.66260534742264,16.72631024842644,16.8489922402667,2026-08-01,50
2026-08-24,16.61298747075429,16.401915618523944,16.528216588140324,16.62778670087117,16.688403486501542,16.77420699727176,2026-08-01,50
2026-08-25,16.585662692684078,16.419583157734017,16.50249077944816,16.595481194655505,16.674421692402003,16.775257654856148,2026-08-01,50
2026-08-26,16.570134569860627,16.394813993882117,16.467600282323914,16.552726142034746,16.676555340561805,16.7677014785413,2026-08-01,50
2026-08-27,16.549165282063722,16.385059002019954,16.45864953710727,16.5434058942476,16.635886094500147,16.764157854953083,2026-08-01,50
